frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,30.0,64.0,manual,30.0,64.0,548,235,False,4.3795620438,8.17021276596,4.3795620438,8.17021276596,
3,,30.0,64.0,manual,30.0,64.0,548,235,False,4.3795620438,8.17021276596,4.3795620438,8.17021276596,0.0
4,,30.0,64.0,16,30.0,64.0,548,235,False,4.3795620438,8.17021276596,4.3795620438,8.17021276596,0.0
5,,30.0,63.0,16,30.0,63.1666666667,548,235,False,4.3795620438,8.06382978724,4.3795620438,8.06382978724,0.106382978719
6,,30.0,63.0,16,30.0,63.0062111801,548,235,False,4.3795620438,8.0433461081,4.3795620438,8.0433461081,0.0204836791404
7,,30.0,62.0,16,30.0,62.0210145897,548,235,False,4.3795620438,7.9175763306,4.3795620438,7.9175763306,0.125769777498
8,,31.0,62.0,16,30.9816225577,61.9904484529,548,235,False,4.52286460696,7.91367427058,4.52286460696,7.91367427058,0.143355678935
9,,30.0,62.0,16,30.0280879569,61.9956028425,548,235,False,4.38366247546,7.91433227777,4.38366247546,7.91433227777,0.139203686692
10,,30.0,64.0,16,29.9942953886,63.9626272527,548,235,False,4.37872925381,8.16544177694,4.37872925381,8.16544177694,0.251157952794
11,,33.0,63.0,16,32.9435863788,63.0378736969,548,235,False,4.80928268304,8.04738813152,4.80928268304,8.04738813152,0.446444754271
12,,36.0,49.0,16,35.9763758006,49.2484700883,548,235,False,5.25202566432,6.28703873468,5.25202566432,6.28703873468,1.81517253903
13,,41.0,60.0,16,40.9553978593,59.657914778,548,235,False,5.97889019844,7.61590401421,5.97889019844,7.61590401421,1.51466662408
14,,30.0,61.0,16,30.2670443311,61.0300605856,548,235,False,4.41854661768,7.79107156412,4.41854661768,7.79107156412,1.57014513997
15,,59.0,71.0,16,58.3996533626,70.8582171845,548,235,False,8.52549684126,9.04572985334,8.52549684126,9.04572985334,4.2943227128
