frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,291.0,145.0,15,290.0,145.0,515,211,False,45.0485436893,20.6161137441,45.0485436893,20.6161137441,
3,,321.0,140.0,15,319.844720497,140.186335404,515,211,False,49.6846167762,19.9317064555,49.6846167762,19.9317064555,4.68631913166
4,,324.0,141.0,15,324.034935082,140.9623879,515,211,False,50.3355238962,20.042045673,50.3355238962,20.042045673,0.660193018573
5,,336.0,143.0,15,335.870696208,142.962197225,515,211,False,52.1740887313,20.3263787524,52.1740887313,20.3263787524,1.86042090746
6,,345.0,133.0,15,344.998679505,133.199704433,515,211,False,53.5920278843,18.9383466018,53.5920278843,18.9383466018,1.98423403164
7,,360.0,135.0,15,359.894671157,134.870511458,515,211,False,55.9059683351,19.175902103,55.9059683351,19.175902103,2.32610253987
8,,373.0,125.0,15,372.991400277,125.156031323,515,211,False,57.9404116935,17.7946963966,57.9404116935,17.7946963966,2.45900162304
9,,388.0,127.0,15,387.962588843,126.853893554,515,211,False,60.2660332183,18.0360986096,60.2660332183,18.0360986096,2.33811687157
10,,395.0,121.0,15,395.127110203,121.078459748,515,211,False,61.3789685752,17.2149468836,61.3789685752,17.2149468836,1.38308180007
11,,410.0,115.0,15,409.911435421,115.035603854,515,211,False,63.6755627838,16.3557730598,63.6755627838,16.3557730598,2.45204498706
12,,419.0,110.0,15,419.067503146,109.995738166,515,211,False,65.0978645664,15.6392044786,65.0978645664,15.6392044786,1.59261197163
13,,419.0,125.0,15,419.190496443,124.640846003,515,211,False,65.1169703212,17.721447299,65.1169703212,17.721447299,2.08233047163
14,,427.0,138.0,15,426.936222542,137.88469912,515,211,False,66.3201899094,19.6044595905,66.3201899094,19.6044595905,2.2346079449
15,,434.0,152.0,15,433.987615658,151.94007752,515,211,False,67.4155519469,21.6028546237,67.4155519469,21.6028546237,2.27890339894
16,,437.0,153.0,15,437.067274378,153.20872718,515,211,False,67.8939455344,21.7832313526,67.8939455344,21.7832313526,0.511269194225
17,,421.0,159.0,15,421.36740473,158.999671639,515,211,False,65.4551308318,22.6065883847,65.4551308318,22.6065883847,2.5740501075
18,,413.0,163.0,15,413.010629017,163.03181163,515,211,False,64.1569909153,23.1798784308,64.1569909153,23.1798784308,1.4190943309
19,,410.0,164.0,15,409.908735461,164.06689387,515,211,False,63.6751433726,23.3270465218,63.6751433726,23.3270465218,0.503820902101
20,,424.0,173.0,15,423.658209682,172.88487556,515,211,False,65.8109840283,24.5807879943,65.8109840283,24.5807879943,2.47662734104
21,,436.0,155.0,15,435.893553578,155.431969769,515,211,False,67.7116199733,22.0993321946,67.7116199733,22.0993321946,3.12570630117
22,,453.0,143.0,15,452.872146429,143.076709143,515,211,False,70.3490712899,20.3426600677,70.3490712899,20.3426600677,3.16891880761
23,,457.0,135.0,15,457.179999441,134.953211533,515,211,False,71.0182523403,19.1876604075,71.0182523403,19.1876604075,1.33485111277
24,,468.0,141.0,15,467.953128587,140.729245358,515,211,False,72.69174813,20.0088974443,72.69174813,20.0088974443,1.86414013114
25,,483.0,143.0,15,482.90573143,142.958308449,515,211,False,75.0144825522,20.3258258458,75.0144825522,20.3258258458,2.3442565576
26,,482.0,148.0,15,482.246570683,147.933786052,515,211,False,74.9120886498,21.033239723,74.9120886498,21.033239723,0.714785915445
27,,482.0,171.0,15,482.087545416,170.651842099,515,211,False,74.8873856957,24.2632950852,74.8873856957,24.2632950852,3.2301498229
28,,475.0,170.0,15,475.157275391,170.282827958,515,211,False,73.8108388957,24.2108286196,73.8108388957,24.2108286196,1.07782454166
29,,471.0,164.0,15,471.011074907,164.214340572,515,211,False,73.1667689176,23.3480105079,73.1667689176,23.3480105079,1.07669922943
30,,471.0,162.0,15,470.930507253,162.013755384,515,211,False,73.1542535539,23.0351310973,73.1542535539,23.0351310973,0.313129621589
31,,470.0,161.0,15,469.988412197,160.984125732,515,211,False,73.0079086908,22.8887382557,73.0079086908,22.8887382557,0.206996818801
32,,470.0,161.0,15,469.978529681,160.975242079,515,211,False,73.0063735427,22.8874751771,73.0063735427,22.8874751771,0.00198797569252
33,,456.0,155.0,15,456.240885489,155.096888655,515,211,False,70.8723705614,22.0516903301,70.8723705614,22.0516903301,2.29183442565
34,,447.0,156.0,15,447.012510627,155.9163358,515,211,False,69.4388366023,22.1681994028,69.4388366023,22.1681994028,1.43826074689
35,,447.0,158.0,15,446.840438139,157.945248846,515,211,False,69.4121068954,22.456670452,69.4121068954,22.456670452,0.289706788759
36,,447.0,157.0,15,446.932669856,157.031974529,515,211,False,69.4264341524,22.3268210231,69.4264341524,22.3268210231,0.130637454407
37,,445.0,156.0,15,445.010201585,156.014424101,515,211,False,69.1277983045,22.1821456068,69.1277983045,22.1821456068,0.33183481696
38,,444.0,156.0,15,443.98765508,155.987659714,515,211,False,68.9689561289,22.1783402437,68.9689561289,22.1783402437,0.158887751311
39,,444.0,156.0,15,443.976789805,155.994552768,515,211,False,68.9672683192,22.1793202988,68.9672683192,22.1793202988,0.00195171964055
40,,444.0,155.0,15,443.990458666,155.015765488,515,211,False,68.9693916374,22.0401562305,68.9693916374,22.0401562305,0.139180265739
41,,424.0,162.0,15,424.353127734,161.864037036,515,211,False,65.9189324635,23.0138441283,65.9189324635,23.0138441283,3.2020882708
42,,421.0,164.0,15,420.845467696,164.031718437,515,211,False,65.3740532343,23.3220452754,65.3740532343,23.3220452754,0.626004250359
43,,421.0,163.0,15,420.875200798,163.0692739,515,211,False,65.3786719686,23.1852048199,65.3786719686,23.1852048199,0.136918380677
44,,422.0,161.0,15,421.932433107,161.046405141,515,211,False,65.5429022302,22.897593148,65.5429022302,22.897593148,0.331197905539
45,,423.0,160.0,15,422.973809322,160.000444711,515,211,False,65.7046694092,22.7488783949,65.7046694092,22.7488783949,0.219737793733
46,,423.0,159.0,15,423.008026448,158.999359335,515,211,False,65.709984691,22.6065439813,65.709984691,22.6065439813,0.142433624993
47,,424.0,158.0,15,423.986006505,157.999722623,515,211,False,65.8619039231,22.4644155388,65.8619039231,22.4644155388,0.208038331218
48,,425.0,157.0,15,424.993971587,156.999894771,515,211,False,66.0184810232,22.32225992,66.0184810232,22.32225992,0.211481933574
49,,411.0,147.0,15,411.265259134,147.160487639,515,211,False,63.8858654965,20.9232920814,63.8858654965,20.9232920814,2.55052151496
50,,401.0,145.0,15,401.040322363,144.924807612,515,211,False,62.297525804,20.6054228832,62.297525804,20.6054228832,1.61983449962
51,,399.0,146.0,15,398.869536524,145.912004812,515,211,False,61.9603163532,20.7457826747,61.9603163532,20.7457826747,0.365254821618
52,,378.0,146.0,15,378.283301941,145.98216931,515,211,False,58.7624546704,20.7557586697,58.7624546704,20.7557586697,3.19787724323
53,,374.0,145.0,15,373.818257839,145.011906777,515,211,False,58.0688555866,20.6178066508,58.0688555866,20.6178066508,0.707184875812
54,,353.0,138.0,15,353.221729124,138.112343638,515,211,False,54.8693948154,19.6368261097,54.8693948154,19.6368261097,3.34647158196
55,,337.0,143.0,15,337.007312688,142.833000108,515,211,False,52.3506505146,20.308009494,52.3506505146,20.308009494,2.60663767869
56,,332.0,140.0,15,331.802921063,140.070451606,515,211,False,51.5422013302,19.9152300862,51.5422013302,19.9152300862,0.898813521877
57,,333.0,140.0,15,332.80996603,139.979099544,515,211,False,51.6986354998,19.9022416413,51.6986354998,19.9022416413,0.156972447033
58,,335.0,139.0,15,334.905756168,139.007789616,515,211,False,52.0241951329,19.7641407037,52.0241951329,19.7641407037,0.353639567456
59,,337.0,138.0,15,336.963753339,138.00364887,515,211,False,52.3438840138,19.6213718773,52.3438840138,19.6213718773,0.350119862899
60,,339.0,136.0,15,338.98643669,136.019231996,515,211,False,52.6580872528,19.339227298,52.6580872528,19.339227298,0.422290467555
61,,341.0,135.0,15,340.99494218,134.990186999,515,211,False,52.9700881056,19.1929175828,52.9700881056,19.1929175828,0.344602763952
62,,342.0,134.0,15,342.015951078,133.995529914,515,211,False,53.1286914296,19.0514971442,53.1286914296,19.0514971442,0.21249648193
