frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,455.0,117.0,35,455.0,117.0,536,203,False,67.9104477612,17.2906403941,67.9104477612,17.2906403941,
3,,454.0,120.0,35,454.166666667,119.5,536,203,False,67.7860696518,17.6600985222,67.7860696518,17.6600985222,0.389832300486
4,,453.0,122.0,35,453.043478261,121.906832298,536,203,False,67.6184295912,18.0157880243,67.6184295912,18.0157880243,0.393215223344
5,,453.0,124.0,35,452.996252175,123.964931067,536,203,False,67.6113809216,18.3199405518,67.6113809216,18.3199405518,0.304234192177
6,,452.0,126.0,35,452.015984021,125.986793135,536,203,False,67.4650722419,18.6187379017,67.4650722419,18.6187379017,0.332695184957
7,,451.0,128.0,35,451.006795639,127.995068696,536,203,False,67.3144471103,18.9155273935,67.3144471103,18.9155273935,0.33282417687
8,,451.0,128.0,35,450.984726245,128.033855209,536,203,False,67.3111531709,18.9212593905,67.3111531709,18.9212593905,0.00661103821968
9,,451.0,129.0,35,450.993454996,128.996488886,536,203,False,67.3124559696,19.063520525,67.3124559696,19.063520525,0.14226709979
10,,450.0,129.0,35,450.015356321,129.015755997,536,203,False,67.1664710927,19.0663678813,67.1664710927,19.0663678813,0.1460126423
11,,450.0,130.0,35,449.988738799,129.988852778,536,203,False,67.1624983282,19.2101752874,67.1624983282,19.2101752874,0.143862270575
12,,451.0,130.0,35,450.97715364,130.01286711,536,203,False,67.3100229313,19.2137242034,67.3100229313,19.2137242034,0.147567284095
13,,451.0,130.0,35,451.008428683,130.005610352,536,203,False,67.3146908482,19.2126517762,67.3146908482,19.2126517762,0.00478952483642
14,,450.0,130.0,35,450.021788678,130.002130046,536,203,False,67.167431146,19.2121374452,67.167431146,19.2121374452,0.147260600433
15,,450.0,130.0,35,449.991177009,130.000795766,536,203,False,67.1628622401,19.211940261,67.1628622401,19.211940261,0.00457315886705
16,,450.0,131.0,35,449.995900681,130.982460356,536,203,False,67.1635672658,19.3570138457,67.1635672658,19.3570138457,0.145075297854
17,,450.0,131.0,35,449.998433317,131.010445478,536,203,False,67.1639452712,19.361149578,67.1639452712,19.361149578,0.00415297120694
18,,450.0,131.0,35,449.999414216,131.004705902,536,203,False,67.164091674,19.3603013648,67.164091674,19.3603013648,0.000860755148882
19,,450.0,131.0,35,449.999781581,131.001792854,536,203,False,67.1641465046,19.3598708651,67.1641465046,19.3598708651,0.000433977407118
20,,450.0,131.0,35,449.999918587,131.000670086,536,203,False,67.1641669533,19.3597049388,67.1641669533,19.3597049388,0.00016718159704
21,,450.0,131.0,35,449.999969656,131.00024984,536,203,False,67.1641745755,19.3596428335,67.1641745755,19.3596428335,6.25713138882e-05
22,,450.0,132.0,35,449.99998869,131.982256796,536,203,False,67.1641774164,19.5047670142,67.1641774164,19.5047670142,0.145124180717
23,,450.0,135.0,35,449.999995785,134.956860622,536,203,False,67.1641784754,19.9443636387,67.1641784754,19.9443636387,0.439596624533
24,,450.0,136.0,35,449.999998429,136.017845982,536,203,False,67.16417887,20.1011595047,67.16417887,20.1011595047,0.15679586601
25,,451.0,139.0,35,450.982163087,138.972602285,536,203,False,67.31077061,20.5378229978,67.31077061,20.5378229978,0.46061279227
26,,453.0,140.0,35,452.974662022,140.02383168,536,203,False,67.6081585107,20.6931770956,67.6081585107,20.6931770956,0.335521175499
27,,455.0,142.0,35,454.989661741,141.992675247,536,203,False,67.9089047375,20.9841391991,67.9089047375,20.9841391991,0.418458168227
28,,457.0,142.0,35,456.99610397,142.032167011,536,203,False,68.2083737269,20.9899754203,68.2083737269,20.9899754203,0.299525853797
29,,460.0,142.0,35,459.980709514,142.01365914,536,203,False,68.6538372409,20.987240267,68.6538372409,20.987240267,0.445471910894
30,,462.0,142.0,35,462.009792811,142.005170889,536,203,False,68.9566854942,20.9859858457,68.9566854942,20.9859858457,0.302850851228
31,,462.0,142.0,35,462.040135293,142.001931094,536,203,False,68.9612142228,20.9855070582,68.9612142228,20.9855070582,0.00455396757318
32,,463.0,143.0,35,462.998868722,142.982883604,536,203,False,69.1043087645,21.1304754095,69.1043087645,21.1304754095,0.203695534331
33,,463.0,143.0,35,463.016644679,143.010603234,536,203,False,69.1069618924,21.1345719065,69.1069618924,21.1345719065,0.00488061223039
34,,464.0,143.0,35,463.98918411,143.0047647,536,203,False,69.2521170313,21.133709069,69.2521170313,21.133709069,0.145157703391
35,,464.0,143.0,35,464.012990604,143.001814769,536,203,False,69.2556702394,21.1332731186,69.2556702394,21.1332731186,0.0035798519888
36,,463.0,144.0,35,463.023492707,143.982841926,536,203,False,69.1079839861,21.2782525014,69.1079839861,21.2782525014,0.206954707239
37,,464.0,144.0,35,463.973975978,144.01058778,536,203,False,69.2498471609,21.2823528739,69.2498471609,21.2823528739,0.1419224204
38,,464.0,144.0,35,464.00647237,144.004758944,536,203,False,69.2546973687,21.2814914696,69.2546973687,21.2814914696,0.0049261072618
39,,464.0,145.0,35,464.00318626,144.983976297,536,203,False,69.2542069045,21.4262033936,69.2542069045,21.4262033936,0.144712755238
40,,465.0,145.0,35,464.983388276,145.01101235,536,203,False,69.4005057128,21.4301988695,69.4005057128,21.4301988695,0.146353357167
41,,467.0,145.0,35,466.975120441,145.004917273,536,203,False,69.6977791703,21.4292981192,69.6977791703,21.4292981192,0.297274822114
42,,469.0,144.0,35,468.989832685,144.019707967,536,203,False,69.9984824903,21.2837006848,69.9984824903,21.2837006848,0.334097440215
43,,472.0,142.0,35,471.978331361,142.02603721,536,203,False,70.4445270688,20.9890695384,70.4445270688,20.9890695384,0.534568310339
44,,473.0,140.0,35,473.026740814,140.010598963,536,203,False,70.6010060916,20.6912215216,70.6010060916,20.6912215216,0.336450777526
45,,475.0,138.0,35,474.993796557,138.003993202,536,203,False,70.894596501,20.3946787983,70.894596501,20.3946787983,0.417292361823
46,,475.0,138.0,35,475.032586713,137.965817721,536,203,False,70.9003860766,20.3890371016,70.9003860766,20.3890371016,0.00808380642883
47,,475.0,138.0,35,475.013815654,137.98555272,536,203,False,70.897584426,20.3919536039,70.897584426,20.3919536039,0.0040441602123
48,,476.0,138.0,35,475.987392901,137.994533588,536,203,False,71.0428944628,20.3932808258,71.0428944628,20.3932808258,0.145316097979
49,,476.0,138.0,35,476.012287734,137.997958675,536,203,False,71.0466101096,20.3937869963,71.0466101096,20.3937869963,0.00374996521171
50,,476.0,138.0,35,476.005392722,137.99923898,536,203,False,71.0455810033,20.3939762039,71.0455810033,20.3939762039,0.00104635521767
51,,476.0,139.0,35,476.002048851,138.98188002,536,203,False,71.0450819181,20.5391940916,71.0450819181,20.5391940916,0.145218745311
52,,476.0,139.0,35,476.0007655,139.010229173,536,203,False,71.0448903731,20.5433836216,71.0448903731,20.5433836216,0.00419390642234
53,,476.0,139.0,35,476.000285403,139.004625282,536,203,False,71.0448187169,20.5425554604,71.0448187169,20.5425554604,0.000831255463888
54,,476.0,140.0,35,476.000106378,139.983926478,536,203,False,71.0447919967,20.6872797751,71.0447919967,20.6872797751,0.144724317146
55,,477.0,140.0,35,476.982203321,140.010993782,536,203,False,71.19137363,20.6912798693,71.19137363,20.6912798693,0.146636202793
56,,477.0,140.0,35,477.010349673,140.004910352,536,203,False,71.1955745781,20.6903808402,71.1955745781,20.6903808402,0.00429607004812
57,,456.0,139.0,35,456.379233074,139.019705388,536,203,False,68.1163034439,20.5447840475,68.1163034439,20.5447840475,3.08271132996
58,,454.0,143.0,35,453.820419392,142.919018283,536,203,False,67.734390954,21.1210371847,67.734390954,21.1210371847,0.691321074485
59,,456.0,146.0,35,455.846364271,145.98342634,536,203,False,68.0367707867,21.5739053704,68.0367707867,21.5739053704,0.544539398843
60,,458.0,148.0,35,457.938588414,148.012310353,536,203,False,68.3490430469,21.8737404463,68.3490430469,21.8737404463,0.432914584123
61,,447.0,151.0,35,447.208784659,150.987636656,536,203,False,66.7475797999,22.3134438408,66.7475797999,22.3134438408,1.66072984158
62,,442.0,150.0,35,441.981886045,150.065926082,536,203,False,65.9674456784,22.1772304555,65.9674456784,22.1772304555,0.791936445592
63,,448.0,145.0,35,447.792458251,145.099292388,536,203,False,66.8346952613,21.4432451805,66.8346952613,21.4432451805,1.13615853782
