frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,326.0,174.0,128,326.0,174.0,557,242,False,46.8222621185,21.5702479339,46.8222621185,21.5702479339,
3,,327.0,174.0,128,326.833333333,174.0,557,242,False,46.9419509275,21.5702479339,46.9419509275,21.5702479339,0.119688809048
4,,328.0,174.0,128,327.956521739,174.0,557,242,False,47.1032706268,21.5702479339,47.1032706268,21.5702479339,0.161319699246
5,,328.0,174.0,128,328.003747825,174.0,557,242,False,47.1100535476,21.5702479339,47.1100535476,21.5702479339,0.00678292078995
6,,329.0,174.0,128,328.984015979,174.0,557,242,False,47.2508461011,21.5702479339,47.2508461011,21.5702479339,0.140792553537
7,,329.0,175.0,128,329.011116351,174.98208801,557,242,False,47.2547384346,21.6919943814,47.2547384346,21.6919943814,0.121808652172
8,,326.0,173.0,128,326.058501528,173.046006465,557,242,False,46.8306644924,21.4519842725,46.8306644924,21.4519842725,0.487281808477
9,,326.0,174.0,128,325.97089272,173.966155389,557,242,False,46.8180815397,21.566052321,46.8180815397,21.566052321,0.114759968502
10,,327.0,174.0,128,326.968878319,174.002781863,557,242,False,46.9614187891,21.5705927929,46.9614187891,21.5705927929,0.143409145293
11,,327.0,176.0,128,327.005266661,175.966100923,557,242,False,46.9666451219,21.8139794533,46.9666451219,21.8139794533,0.243442767363
12,,329.0,176.0,128,328.967097436,176.021366095,557,242,False,47.2484161488,21.8208305076,47.2484161488,21.8208305076,0.281854303787
13,,330.0,177.0,128,330.003904544,176.991754255,557,242,False,47.3973291984,21.9411265605,47.3973291984,21.9411265605,0.19143206808
14,,331.0,178.0,128,331.002228997,177.996150991,557,242,False,47.5407151163,22.0656385526,47.5407151163,22.0656385526,0.189901968407
15,,332.0,180.0,128,332.000867807,179.980691967,557,242,False,47.6841461841,22.311656029,47.6841461841,22.311656029,0.284775472794
16,,333.0,180.0,128,333.000325217,180.02762092,557,242,False,47.8276948247,22.3174736678,47.8276948247,22.3174736678,0.143666478804
17,,334.0,185.0,128,334.000121298,184.922779288,557,242,False,47.9712921074,22.924311482,47.9712921074,22.924311482,0.623596273536
18,,336.0,186.0,128,335.982208886,186.038375907,557,242,False,48.255972551,23.0626085835,48.255972551,23.0626085835,0.316494933946
19,,336.0,188.0,128,336.028188075,187.999680778,557,242,False,48.2625763842,23.305745551,48.2625763842,23.305745551,0.243226634168
20,,338.0,190.0,128,337.976499744,189.999181259,557,242,False,48.5424057083,23.5536175114,48.5424057083,23.5536175114,0.373824770985
21,,339.0,192.0,128,339.007450043,191.999661356,557,242,False,48.6904775645,23.8016109119,48.6904775645,23.8016109119,0.288835595584
22,,340.0,194.0,128,340.003552426,193.99987218,557,242,False,48.8335443341,24.0495709314,48.8335443341,24.0495709314,0.286273072122
23,,330.0,181.0,128,330.197560768,181.267497197,557,242,False,47.4251433778,22.4711773385,47.4251433778,22.4711773385,2.11540057385
24,,343.0,183.0,128,342.67278932,182.844958777,557,242,False,49.2169176761,22.6667304269,49.2169176761,22.6667304269,1.80241397756
25,,341.0,200.0,128,341.126406019,199.662478165,557,242,False,48.9948159453,24.75154688,48.9948159453,24.75154688,2.09661365582
26,,336.0,208.0,128,336.112507853,208.021340611,557,242,False,48.2746869448,25.7877694972,48.2746869448,25.7877694972,1.26188077484
27,,355.0,205.0,128,354.616990995,205.211194983,557,242,False,50.932422405,25.4394043367,50.932422405,25.4394043367,2.6804693734
28,,359.0,204.0,128,359.104455925,204.052769072,557,242,False,51.576941605,25.2957978188,51.576941605,25.2957978188,0.660324034963
29,,348.0,197.0,128,348.318307461,197.125444134,557,242,False,50.0277640878,24.437038529,50.0277640878,24.437038529,1.77127595193
30,,344.0,195.0,128,344.007153303,194.962635249,557,242,False,49.4085677994,24.1689217251,49.4085677994,24.1689217251,0.674752298342
31,,342.0,197.0,128,341.961658376,196.910702718,557,242,False,49.1147803772,24.4104176923,49.1147803772,24.4104176923,0.380304288204
32,,341.0,198.0,128,340.965910731,197.980946981,557,242,False,48.9717645574,24.543092601,48.9717645574,24.543092601,0.195079871027
33,,340.0,201.0,128,339.986346935,200.957906944,557,242,False,48.8310731684,24.9121372245,48.8310731684,24.9121372245,0.394953163154
34,,339.0,204.0,128,338.994865952,203.982636741,557,242,False,48.6886701547,25.2871037282,48.6886701547,25.2871037282,0.401096618357
35,,338.0,208.0,128,337.998084292,207.975611985,557,242,False,48.5455058229,25.7821006593,48.5455058229,25.7821006593,0.515284375531
36,,338.0,209.0,128,337.981449555,209.043561801,557,242,False,48.5431166327,25.9144911324,48.5431166327,25.9144911324,0.132412029614
37,,337.0,208.0,128,337.010068728,208.054428453,557,242,False,48.4036005354,25.7918712958,48.4036005354,25.7918712958,0.185742740634
38,,336.0,208.0,128,336.004565481,208.004277688,557,242,False,48.259183552,25.7856542588,48.259183552,25.7856542588,0.144550740733
39,,335.0,207.0,128,335.001740517,207.018664593,557,242,False,48.1151512412,25.6634708173,48.1151512412,25.6634708173,0.188875885016
40,,335.0,208.0,128,334.982814251,207.972100822,557,242,False,48.1124329265,25.7816653912,48.1124329265,25.7816653912,0.118225828484
41,,334.0,208.0,128,334.010577465,208.005769851,557,242,False,47.9727938908,25.7858392377,47.9727938908,25.7858392377,0.139701400437
42,,333.0,208.0,128,333.0047551,208.002924247,557,242,False,47.8283310736,25.7854864769,47.8283310736,25.7854864769,0.144463247934
43,,332.0,208.0,128,332.001811191,208.001126939,557,242,False,47.6842816791,25.7852636701,47.6842816791,25.7852636701,0.144049566782
44,,332.0,208.0,128,331.982840592,208.000421799,557,242,False,47.6815569971,25.7851762561,47.6815569971,25.7851762561,0.00272608394353
45,,331.0,209.0,128,331.010587283,208.982320968,557,242,False,47.5419155882,25.9068992936,47.5419155882,25.9068992936,0.18524637895
46,,330.0,209.0,128,330.004758759,209.010393526,557,242,False,47.3974518864,25.9103793627,47.3974518864,25.9103793627,0.144505612445
47,,329.0,210.0,128,329.001812555,209.986850211,557,242,False,47.2534021623,26.0314277121,47.2534021623,26.0314277121,0.188156918286
48,,327.0,211.0,128,327.018513756,210.994284205,557,242,False,46.9685477567,26.1563162238,46.9685477567,26.1563162238,0.311029215241
49,,325.0,211.0,128,325.007754009,211.015666977,557,242,False,46.6797492293,26.1589669806,46.6797492293,26.1589669806,0.288810692216
50,,324.0,213.0,128,323.985094562,212.971018361,557,242,False,46.5328681597,26.4013659125,46.5328681597,26.4013659125,0.283427752328
51,,322.0,215.0,128,322.011429238,214.987531738,557,242,False,46.2493973771,26.6513469097,46.2493973771,26.6513469097,0.377949974911
52,,321.0,217.0,128,320.98723633,216.995273144,557,242,False,46.1022960618,26.9002404724,46.1022960618,26.9002404724,0.289113822809
53,,320.0,217.0,128,319.994428122,217.033907067,557,242,False,45.9597024233,26.9050298017,45.9597024233,26.9050298017,0.14267404604
54,,320.0,218.0,128,319.980047962,217.996508292,557,242,False,45.9576370502,27.0243605321,45.9576370502,27.0243605321,0.119348602744
55,,334.0,206.0,128,333.741999558,206.229798972,557,242,False,47.934218967,25.5656775585,47.934218967,25.5656775585,2.45654881721
56,,338.0,209.0,128,338.07021179,208.829164018,557,242,False,48.5558652481,25.8879128948,48.5558652481,25.8879128948,0.700199764871
