frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,38.0,71.0,26,37.3333333333,68.1666666667,518,207,False,5.76576576576,9.87922705314,5.76576576576,9.87922705314,
3,,44.0,91.0,26,43.751552795,90.149068323,518,207,False,6.75699657066,13.0650823657,6.75699657066,13.0650823657,3.33649705242
4,,47.0,112.0,26,46.9567661625,111.620800428,518,207,False,7.25201021815,16.1769275983,7.25201021815,16.1769275983,3.15097116187
5,,48.0,132.0,26,48.0229281408,131.872696055,518,207,False,7.41666843873,19.1119849355,7.41666843873,19.1119849355,2.93967241415
6,,46.0,153.0,26,46.0641620255,152.935291359,518,207,False,7.11415629737,22.1645349796,7.11415629737,22.1645349796,3.06750311608
7,,42.0,162.0,26,42.0622721043,162.189216628,518,207,False,6.49610379989,23.5056835693,6.49610379989,23.5056835693,1.47670864741
8,,39.0,164.0,26,39.0072078974,164.205598886,518,207,False,6.02427921195,23.797912882,6.02427921195,23.797912882,0.554992263924
9,,36.0,166.0,26,36.0019207165,166.083094022,518,207,False,5.5601421956,24.0700136264,5.5601421956,24.0700136264,0.538016714448
10,,33.0,168.0,26,33.0006792342,168.031279764,518,207,False,5.09662999756,24.3523593861,5.09662999756,24.3523593861,0.542736294859
11,,31.0,170.0,26,30.9824150758,170.011673252,518,207,False,4.78492896924,24.6393729351,4.78492896924,24.6393729351,0.423714890415
12,1.0,28.0,171.5,26,27.9912075379,171.505836626,518,207,False,4.32296641512,24.8559183516,4.32296641512,24.8559183516,0.510197333217
13,,25.0,173.0,26,25.0,173.0,518,207,False,3.861003861,25.0724637681,3.861003861,25.0724637681,0.510197333217
14,,24.0,172.0,26,24.1666666667,172.166666667,518,207,False,3.73230373231,24.9516908213,3.73230373231,24.9516908213,0.176493138132
15,,28.0,150.0,26,27.8571428571,150.826086957,518,207,False,4.30226144511,21.8588531822,4.30226144511,21.8588531822,3.14491596969
16,,22.0,148.0,26,22.1416142417,147.971891313,518,207,False,3.41955432304,21.4452016396,3.41955432304,21.4452016396,0.974822784949
17,,20.0,139.0,26,19.9893612049,139.101502714,518,207,False,3.08716003164,20.1596380745,3.08716003164,20.1596380745,1.3278402181
18,,18.0,158.0,26,17.9929849834,157.541695537,518,207,False,2.77883937968,22.832129788,2.77883937968,22.832129788,2.69021812927
19,,15.0,167.0,26,15.0150860853,166.983886575,518,207,False,2.31893221395,24.2005632717,2.31893221395,24.2005632717,1.44364981924
20,,20.0,177.0,26,19.8637676746,176.983560418,518,207,False,3.06776334743,25.6497913649,3.06776334743,25.6497913649,1.63126028964
21,,16.0,172.0,26,16.1029642866,172.260921351,518,207,False,2.48694429137,24.9653509204,2.48694429137,24.9653509204,0.89766892446
22,,15.0,168.0,26,14.9922245675,168.092192703,518,207,False,2.31540147761,24.3611873483,2.31540147761,24.3611873483,0.628045029353
23,,18.0,165.0,26,17.9235480517,165.016283315,518,207,False,2.76811552922,23.915403379,2.76811552922,23.915403379,0.635352941121
24,,19.0,164.0,26,19.0036579125,163.969531245,518,207,False,2.93492786293,23.7637001804,2.93492786293,23.7637001804,0.225477748635
