frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,134.0,58.0,295,132.666666667,58.6666666667,543,228,False,19.5457335789,7.71929824562,19.5457335789,7.71929824562,
3,,136.0,64.0,295,135.875776398,63.801242236,543,228,False,20.0185305927,8.39490029421,20.0185305927,8.39490029421,0.824606054002
4,,149.0,62.0,295,148.730558158,62.0602329005,543,228,False,21.9124210914,8.16582011849,21.9124210914,8.16582011849,1.90769466845
5,,145.0,58.0,295,145.200073303,58.0660318647,543,228,False,21.3922759931,7.64026735062,21.3922759931,7.64026735062,0.739429939307
6,,136.0,52.0,295,136.17860748,52.0625413453,543,228,False,20.0631465901,6.85033438754,20.0631465901,6.85033438754,1.54614975217
7,,129.0,50.0,295,129.035860872,49.9537400675,543,228,False,19.0108082316,6.5728605352,19.0108082316,6.5728605352,1.08830499374
8,,124.0,41.0,295,123.976220706,41.1042930759,543,228,False,18.2653732164,5.40845961525,18.2653732164,5.40845961525,1.38257110643
9,,121.0,25.0,295,120.953686417,25.1695435054,543,228,False,17.8200642972,3.31178204018,17.8200642972,3.31178204018,2.1434450978
10,,121.0,20.0,295,120.927436939,19.8732448832,543,228,False,17.8161969708,2.61490064253,17.8161969708,2.61490064253,0.696892128392
11,,122.0,16.0,295,121.952471854,15.9258301782,543,228,False,17.9672150061,2.09550397082,17.9672150061,2.09550397082,0.540906045065
12,,124.0,14.0,295,123.963468997,13.9353945555,543,228,False,18.2634945115,1.83360454678,18.2634945115,1.83360454678,0.395440075916
13,,125.0,14.0,295,125.003320196,13.9384791223,543,228,False,18.4166954248,1.83401041083,18.4166954248,1.83401041083,0.153201450909
14,,126.0,12.0,295,126.002047955,12.0109511171,543,228,False,18.5638376361,1.58038830488,18.5638376361,1.58038830488,0.29321494328
15,,128.0,14.0,295,127.982965762,13.9343577121,543,228,False,18.8556855635,1.83346812001,18.8556855635,1.83346812001,0.386296007661
16,,132.0,26.0,295,131.95712672,25.793834191,543,228,False,19.4411973068,3.39392555145,19.4411973068,3.39392555145,1.66668875226
17,,131.0,31.0,295,131.071454232,31.0393178675,543,228,False,19.3107114891,4.08412077204,19.3107114891,4.08412077204,0.702421519576
18,,131.0,31.0,295,131.012979912,31.1093948114,543,228,False,19.302096488,4.09334142255,19.302096488,4.09334142255,0.0126189793535
19,,131.0,32.0,295,131.004184486,32.0274706089,543,228,False,19.3008006609,4.21414086959,19.3008006609,4.21414086959,0.120806397069
20,,132.0,32.0,295,131.983692029,32.0274384517,543,228,False,19.4451111645,4.21413663838,19.4451111645,4.21413663838,0.144310503635
21,,131.0,31.0,295,131.028739369,31.0288861543,543,228,False,19.3044183232,4.0827481782,19.3044183232,4.0827481782,0.19250299491
22,,131.0,30.0,295,130.994541476,30.0116592611,543,228,False,19.2993799596,3.94890253436,19.2993799596,3.94890253436,0.13394044006
23,,131.0,30.0,295,130.997191701,29.98655199,543,228,False,19.2997704164,3.94559894605,19.2997704164,3.94559894605,0.00332658264965
24,,130.0,30.0,295,130.0167526,29.9941362062,543,228,False,19.1553226667,3.94659686924,19.1553226667,3.94659686924,0.144451196742
25,,129.0,29.0,295,129.007095738,29.0156100524,543,228,False,19.0065702745,3.81784342795,19.0065702745,3.81784342795,0.196735159101
26,,129.0,29.0,295,128.984849125,28.9888333874,543,228,False,19.0032926888,3.81432018255,19.0032926888,3.81432018255,0.00481205010276
27,,128.0,29.0,295,128.011337756,28.9950252269,543,228,False,18.8598655994,3.81513489828,18.8598655994,3.81513489828,0.143429403271
28,,128.0,29.0,295,127.987202233,28.9981069289,543,228,False,18.8563097213,3.81554038538,18.8563097213,3.81554038538,0.00357892292035
29,,128.0,28.0,295,127.994415414,28.0171288896,543,228,False,18.8573724367,3.68646432758,18.8573724367,3.68646432758,0.129080432529
30,,127.0,28.0,295,127.015715881,27.9894013423,543,228,False,18.7131809769,3.68281596609,18.7131809769,3.68281596609,0.144237608148
31,,127.0,28.0,295,126.988872916,27.9952370015,543,228,False,18.7092262123,3.68358381599,18.7092262123,3.68358381599,0.00402861723494
32,,127.0,27.0,295,126.995039964,27.0160221924,543,228,False,18.7101348013,3.55473976216,18.7101348013,3.55473976216,0.128847257406
33,,127.0,27.0,295,126.998112422,26.9889870872,543,228,False,18.7105874655,3.55118251147,18.7105874655,3.55118251147,0.00358593603874
34,,127.0,27.0,295,126.999294609,26.9950825174,543,228,False,18.7107616367,3.55198454176,18.7107616367,3.55198454176,0.000820724186993
35,,127.0,26.0,295,126.999737001,26.0159646098,543,228,False,18.7108268141,3.42315323813,18.7108268141,3.42315323813,0.128831320119
36,,127.0,26.0,295,126.999901972,25.988965625,543,228,False,18.7108511193,3.41960074013,18.7108511193,3.41960074013,0.00355258114318
37,,127.0,24.0,295,126.999963463,24.0307471734,543,228,False,18.7108601787,3.16194041755,18.7108601787,3.16194041755,0.257660322738
38,,127.0,24.0,295,126.999986382,23.9774555095,543,228,False,18.7108635554,3.15492835651,18.7108635554,3.15492835651,0.00701206185248
39,,127.0,23.0,295,126.999994924,23.0078063649,543,228,False,18.7108648138,3.02734294275,18.7108648138,3.02734294275,0.127585413769
40,,128.0,23.0,295,127.982161781,22.9858489095,543,228,False,18.8555671132,3.02445380388,18.8555671132,3.02445380388,0.144731138901
41,,128.0,23.0,295,128.010334191,22.9939092329,543,228,False,18.8597177445,3.02551437275,18.8597177445,3.02551437275,0.00428398722872
42,,128.0,23.0,295,128.004664423,22.997690807,543,228,False,18.8588824196,3.02601194829,18.8588824196,3.02601194829,0.00097229067949
43,,129.0,23.0,295,128.983941067,22.9991374586,543,228,False,19.0031589049,3.02620229718,19.0031589049,3.02620229718,0.144276610871
44,,128.0,24.0,295,128.028835547,23.9818421005,543,228,False,18.8624435428,3.15550553954,18.8624435428,3.15550553954,0.191102437462
45,,129.0,25.0,295,128.976741155,24.992378709,543,228,False,19.0020981444,3.28847088276,19.0020981444,3.28847088276,0.192829433002
46,,129.0,25.0,295,129.007540025,25.0149549082,543,228,False,19.0066357311,3.29144143529,19.0066357311,3.29144143529,0.00542345606948
47,,129.0,25.0,295,129.003585964,25.006425528,543,228,False,19.0060531807,3.29031914842,19.0060531807,3.29031914842,0.00126447333346
48,,129.0,25.0,295,129.001373664,25.0024356464,543,228,False,19.0057272433,3.289794164,19.0057272433,3.289794164,0.000617935127035
49,,130.0,26.0,295,129.982677434,25.9830734255,543,228,False,19.1503023844,3.41882545072,19.1503023844,3.41882545072,0.193780918484
50,,130.0,27.0,295,130.010526468,26.9928377403,543,228,False,19.1544053728,3.55168917636,19.1544053728,3.55168917636,0.132927063094
51,,131.0,27.0,295,130.986899764,27.0151260009,543,228,False,19.2982541089,3.55462184222,19.2982541089,3.55462184222,0.143878627304
52,,131.0,28.0,295,131.012139002,27.9886529695,543,228,False,19.301972597,3.68271749599,19.301972597,3.68271749599,0.128149614384
53,,131.0,29.0,295,131.005338966,28.9949579822,543,228,False,19.3009707501,3.81512605029,19.3009707501,3.81512605029,0.132412344401
54,,131.0,29.0,295,131.002028896,29.0159181934,543,228,False,19.3004830786,3.81788397282,19.3004830786,3.81788397282,0.00280070707306
55,,132.0,30.0,295,131.982921738,29.9889483249,543,228,False,19.4449976778,3.94591425328,19.4449976778,3.94591425328,0.193070510679
