frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,460.0,141.0,133,460.0,141.0,531,215,False,69.3032015066,19.6744186047,69.3032015066,19.6744186047,
3,,459.0,141.0,133,459.166666667,141.0,531,215,False,69.1776522285,19.6744186047,69.1776522285,19.6744186047,0.125549278041
4,,459.0,141.0,133,459.00621118,141.0,531,215,False,69.1534781439,19.6744186047,69.1534781439,19.6744186047,0.0241740846704
5,,459.0,141.0,133,458.999464596,141.0,531,215,False,69.1524617094,19.6744186047,69.1524617094,19.6744186047,0.00101643450094
6,,459.0,141.0,133,458.999658083,141.0,531,215,False,69.15249086,19.6744186047,69.15249086,19.6744186047,2.91505838135e-05
7,,459.0,141.0,133,458.999865659,141.0,531,215,False,69.1525221332,19.6744186047,69.1525221332,19.6744186047,3.12732203298e-05
8,,459.0,140.0,133,458.999949596,140.017846848,531,215,False,69.1525347791,19.5373739788,69.1525347791,19.5373739788,0.137044626444
9,,459.0,140.0,133,458.999981198,139.989668179,531,215,False,69.1525395402,19.5334420715,69.1525395402,19.5334420715,0.00393191018494
10,,459.0,141.0,133,458.999992991,140.977499876,531,215,False,69.1525413169,19.6712790525,69.1525413169,19.6712790525,0.137836980988
11,,459.0,140.0,133,458.999997388,140.026394104,531,215,False,69.1525419794,19.5385666192,69.1525419794,19.5385666192,0.132712433304
12,,459.0,140.0,133,458.999999026,139.993665568,531,215,False,69.1525422261,19.5339998467,69.1525422261,19.5339998467,0.00456677247179
13,,459.0,140.0,133,458.999999637,139.996865151,531,215,False,69.1525423182,19.5344463001,69.1525423182,19.5344463001,0.000446453451357
14,,460.0,141.0,133,459.982163537,140.980958231,531,215,False,69.3005142805,19.6717616136,69.3005142805,19.6717616136,0.201869257084
15,,460.0,140.0,133,460.010334845,140.027720164,531,215,False,69.3047585454,19.5387516508,69.3047585454,19.5387516508,0.133077661529
16,,460.0,140.0,133,460.004664667,139.994161589,531,215,False,69.3039042813,19.5340690589,69.3039042813,19.5340690589,0.00475987748724
17,,460.0,140.0,133,460.001777485,139.997050111,531,215,False,69.3034693009,19.5344721085,69.3034693009,19.5344721085,0.000593006627599
18,,460.0,140.0,133,460.000664357,139.9988635,531,215,False,69.303301598,19.5347251395,69.303301598,19.5347251395,0.000303560474151
19,,460.0,140.0,133,460.000247705,139.999574637,531,215,False,69.3032388256,19.534824368,69.3032388256,19.534824368,0.000117416595701
20,,460.0,140.0,133,460.000092328,139.999841376,531,215,False,69.3032154166,19.5348615873,69.3032154166,19.5348615873,4.39688866792e-05
21,,460.0,140.0,133,460.000034412,139.999940874,531,215,False,69.3032066911,19.5348754708,69.3032066911,19.5348754708,1.63977317495e-05
22,,460.0,141.0,133,460.000012826,140.982141635,531,215,False,69.3032034389,19.6719267398,69.3032034389,19.6719267398,0.137051269015
23,,460.0,141.0,133,460.00000478,141.010326682,531,215,False,69.3032022267,19.675859537,69.3032022267,19.675859537,0.00393279744263
24,1.0,460.0,141.0,133,460.00000239,141.005163341,531,215,False,69.3032018667,19.6751390708,69.3032018667,19.6751390708,0.000720466276021
25,,460.0,141.0,133,460.0,141.0,531,215,False,69.3032015066,19.6744186047,69.3032015066,19.6744186047,0.000720466276029
26,,460.0,141.0,133,460.0,141.0,531,215,False,69.3032015066,19.6744186047,69.3032015066,19.6744186047,0.0
27,,454.0,149.0,133,454.223602484,148.701863354,531,215,False,68.4329344609,20.7490972122,68.4329344609,20.7490972122,1.38285893726
28,,449.0,148.0,133,449.088475438,148.047249364,531,215,False,67.6592806686,20.6577557252,67.6592806686,20.6577557252,0.779027250802
29,,448.0,147.0,133,447.960020269,147.025579845,531,215,False,67.4892685904,20.5151971877,67.4892685904,20.5151971877,0.221871682184
30,,448.0,147.0,133,447.963673685,146.99200957,531,215,False,67.4898190109,20.5105129633,67.4898190109,20.5105129633,0.00471645217502
31,,447.0,147.0,133,447.003280914,146.996182574,531,215,False,67.345127068,20.5110952429,67.345127068,20.5110952429,0.144693114521
32,,447.0,148.0,133,446.984190068,147.980699222,531,215,False,67.3422508577,20.6484696589,67.3422508577,20.6484696589,0.137404522331
33,,448.0,148.0,133,447.975455746,148.009787267,531,215,False,67.491594086,20.6525284559,67.491594086,20.6525284559,0.149398372411
