frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
2,,494.0,127.0,14,492.833333333,125.0,538,226,False,73.2837670384,16.592920354,73.2837670384,16.592920354,
3,,492.0,158.0,14,492.031055901,156.770186335,538,226,False,73.164469279,20.8102017259,73.164469279,20.8102017259,4.21896837215
4,,488.0,179.0,14,488.083522955,178.653460046,538,226,False,72.5774755323,23.7150610681,72.5774755323,23.7150610681,2.96357376428
5,,478.0,186.0,14,478.145226317,186.132459763,538,226,False,71.0996619059,24.7078486411,71.0996619059,24.7078486411,1.78032589145
6,,473.0,177.0,14,472.970077317,177.348558289,538,226,False,70.3301230211,23.5418440207,70.3301230211,23.5418440207,1.39705292314
7,,474.0,167.0,14,473.877741109,167.162092211,538,226,False,70.4650916147,22.1896582581,70.4650916147,22.1896582581,1.35890502161
8,,483.0,167.0,14,482.806412201,166.883576804,538,226,False,71.7927750485,22.1526871864,71.7927750485,22.1526871864,1.32819808779
9,,487.0,166.0,14,487.009945856,165.965981113,538,226,False,72.417835815,22.0308824486,72.417835815,22.0308824486,0.636818149873
10,,494.0,163.0,14,493.954126768,163.023441935,538,226,False,73.4504277722,21.6402799029,73.4504277722,21.6402799029,1.10400022589
11,,483.0,169.0,14,483.301583644,168.849938774,538,226,False,71.8664064898,22.4137086868,71.8664064898,22.4137086868,1.76275792633
12,,470.0,176.0,14,470.16332803,175.918634239,538,226,False,69.9127625323,23.3520310937,69.9127625323,23.3520310937,2.16729639223
13,,466.0,170.0,14,465.902784846,170.200328768,538,226,False,69.2792245124,22.5929639958,69.2792245124,22.5929639958,0.98871294208
14,,473.0,176.0,14,472.760001405,175.871667691,538,226,False,70.2988849673,23.3457965962,70.2988849673,23.3457965962,1.2674637539
15,,485.0,172.0,14,484.811616011,172.120817372,538,226,False,72.0909466187,22.8478961113,72.0909466187,22.8478961113,1.85994350865
16,,504.0,167.0,14,503.800197665,167.070937519,538,226,False,74.9145275338,22.1775580777,74.9145275338,22.1775580777,2.90206172632
17,,496.0,150.0,14,496.40090997,150.241715216,538,226,False,73.8142617056,19.9435905154,73.8142617056,19.9435905154,2.49022006305
18,,494.0,143.0,14,494.065156653,142.922029732,538,226,False,73.4669377923,18.9719508494,73.4669377923,18.9719508494,1.03185151128
19,,497.0,124.0,14,496.931070562,124.17693263,538,226,False,73.8930959943,16.4836636235,73.8930959943,16.4836636235,2.52451661352
20,,488.0,104.0,14,488.183884092,104.093639663,538,226,False,72.5923991215,13.8177397783,72.5923991215,13.8177397783,2.96630448595
21,,488.0,78.0,14,487.918038712,78.1432442107,538,226,False,72.55286821,10.3729970191,72.55286821,10.3729970191,3.44496957457
22,,480.0,75.0,14,480.10494031,74.6483385569,538,226,False,71.3910691911,9.90907148985,71.3910691911,9.90907148985,1.25100114188
23,,467.0,63.0,14,467.134778318,63.0100735932,538,226,False,69.4624205677,8.36416906104,69.4624205677,8.36416906104,2.47111493599
24,,452.0,69.0,14,452.09048468,68.6894551074,538,226,False,67.2253508818,9.11806926204,67.2253508818,9.11806926204,2.36068767372
25,,450.0,68.0,14,449.803778972,67.9940686181,538,226,False,66.8853202932,9.02576132099,66.8853202932,9.02576132099,0.352337277523
26,,454.0,73.0,14,453.808843358,72.896026451,538,226,False,67.4808689008,9.67646368819,67.4808689008,9.67646368819,0.882095071222
27,,453.0,78.0,14,453.012286669,77.9563775938,538,226,False,67.3624218095,10.348191716,67.3624218095,10.348191716,0.68209109126
28,,452.0,77.0,14,452.008576942,77.0905261777,538,226,False,67.2131712925,10.2332556873,67.2131712925,10.2332556873,0.188377300975
29,,442.0,88.0,14,442.163915008,87.8248147659,538,226,False,65.7492810421,11.6581612521,65.7492810421,11.6581612521,2.04287310762
30,,442.0,101.0,14,441.890421548,100.889034961,538,226,False,65.7086128696,13.3923497736,65.7086128696,13.3923497736,1.73466530728
31,,430.0,113.0,14,430.165026833,112.974292375,538,226,False,63.9650597521,14.9965874834,63.9650597521,14.9965874834,2.36929443148
32,,428.0,131.0,14,427.892996607,130.884149376,538,226,False,63.6272113914,17.3740021296,63.6272113914,17.3740021296,2.40130004676
33,,421.0,146.0,14,421.041235702,146.005244166,538,226,False,62.6083621862,19.3812271017,62.6083621862,19.3812271017,2.25100106434
34,,420.0,167.0,14,419.912233099,166.897253925,538,226,False,62.4404807582,22.1545027334,62.4404807582,22.1545027334,2.77835237207
35,,425.0,172.0,14,424.855334378,172.242075744,538,226,False,63.1755144057,22.8639923554,63.1755144057,22.8639923554,1.02159188846
36,,429.0,172.0,14,428.958559684,172.19282415,538,226,False,63.7856594326,22.8574545332,63.7856594326,22.8574545332,0.610180052925
37,,437.0,181.0,14,436.913806421,180.916251445,538,226,False,64.9685957503,24.0154316077,64.9685957503,24.0154316077,1.65536981883
38,,434.0,182.0,14,434.160688276,182.10402918,538,226,False,64.5592101526,24.1731012186,64.5592101526,24.1731012186,0.43869838596
39,,433.0,183.0,14,433.033445459,183.045245364,538,226,False,64.3915904028,24.29804142,64.3915904028,24.29804142,0.20906083907
40,,432.0,184.0,14,432.011200082,184.017173364,538,226,False,64.2395836553,24.4270584112,64.2395836553,24.4270584112,0.199377619842
41,,432.0,184.0,14,431.986277552,184.024251925,538,226,False,64.2358777029,24.4279980431,64.2358777029,24.4279980431,0.00382321743968
42,,432.0,185.0,14,431.994028976,184.992057005,538,226,False,64.237030331,24.556467744,64.237030331,24.556467744,0.128474871461
43,,432.0,185.0,14,431.997733522,185.014063174,538,226,False,64.2375811929,24.5593889169,64.2375811929,24.5593889169,0.00297265870216
44,,431.0,184.0,14,431.016989615,184.023892556,538,226,False,64.0917456677,24.4279503393,64.0917456677,24.4279503393,0.196326513991
45,,430.0,184.0,14,430.007185755,183.99196134,538,226,False,63.9415889599,24.4237116823,63.9415889599,24.4237116823,0.150216520771
46,,430.0,185.0,14,429.984882756,184.978356694,538,226,False,63.9382725288,24.5546491187,63.9382725288,24.5546491187,0.130979429525
47,,429.0,185.0,14,429.011350294,185.008877173,538,226,False,63.7935093374,24.5587005097,63.7935093374,24.5587005097,0.14481987207
48,,429.0,185.0,14,428.987206907,185.004119514,538,226,False,63.7899192427,24.558068962,63.7899192427,24.558068962,0.0036452205074
49,,428.0,185.0,14,428.012253483,185.001574209,538,226,False,63.6449447558,24.5577310897,63.6449447558,24.5577310897,0.144974880556
50,,428.0,184.0,14,427.987545307,184.018424917,538,226,False,63.6412706776,24.4272245465,63.6412706776,24.4272245465,0.130558250084
51,,427.0,184.0,14,427.012379695,183.989884569,538,226,False,63.4962646387,24.4234360047,63.4962646387,24.4234360047,0.145055521727
52,,427.0,184.0,14,426.987592352,183.995417116,538,226,False,63.4925787884,24.4241704136,63.4925787884,24.4241704136,0.00375830394781
53,,427.0,184.0,14,426.994560902,183.998252997,538,226,False,63.493615004,24.424546858,63.493615004,24.424546858,0.00110247592675
54,,427.0,185.0,14,426.997933783,184.981510676,538,226,False,63.4941165477,24.5550677888,63.4941165477,24.5550677888,0.13052189446
55,,426.0,185.0,14,426.017064351,185.010091425,538,226,False,63.348262357,24.5588616936,63.348262357,24.5588616936,0.145903525105
56,,426.0,185.0,14,425.989377288,185.004573937,538,226,False,63.3441453216,24.5581292837,63.3441453216,24.5581292837,0.00418167486584
57,,425.0,186.0,14,425.013064364,185.983907341,538,226,False,63.1989686787,24.6881292931,63.1989686787,24.6881292931,0.194874985835
58,,425.0,187.0,14,424.987847628,186.993150321,538,226,False,63.1952189781,24.8220996001,63.1952189781,24.8220996001,0.134022772069
59,,424.0,187.0,14,424.012492379,187.015242589,538,226,False,63.0501847404,24.8250322021,63.0501847404,24.8250322021,0.145063883443
60,,423.0,187.0,14,423.005470679,187.006532755,538,226,False,62.9004417367,24.8238760294,62.9004417367,24.8238760294,0.149747467082
61,,423.0,187.0,14,422.98424166,187.002475612,538,226,False,62.8972850052,24.8233374706,62.8972850052,24.8233374706,0.00320234274135
62,,422.0,188.0,14,422.011111259,187.983088321,538,226,False,62.7525815999,24.9535072992,62.7525815999,24.9535072992,0.19463622429
63,,422.0,188.0,14,421.98711781,188.01067962,538,226,False,62.7490138007,24.9571698611,62.7490138007,24.9571698611,0.00511307632607
64,,421.0,188.0,14,421.012220275,188.004793175,538,226,False,62.6040476245,24.9563884746,62.6040476245,24.9563884746,0.14496828208
65,,420.0,188.0,14,420.005369257,188.001825382,538,226,False,62.454330001,24.9559945197,62.454330001,24.9559945197,0.149718141804
66,,419.0,187.0,14,419.002040186,187.018518537,538,226,False,62.3051360871,24.8254670624,62.3051360871,24.8254670624,0.198232795105
67,,419.0,187.0,14,418.982925947,186.989919463,538,226,False,62.3022938211,24.8216707252,62.3022938211,24.8216707252,0.00474243109678
68,,419.0,187.0,14,418.992782769,186.995430122,538,226,False,62.3037595196,24.8224022286,62.3037595196,24.8224022286,0.00163809924843
