animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,Experiment_Acclimate,starve_date,starve_time,background,mean_speed_mm,%_time_L_half,%_time_R_half,PI_(L-R)
171101-01-top,171101,2:35:00 PM,2:50:00 PM,,True,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,2.2613325855,0.467185762,0.532814238,-0.0656284761
171101-01-bottom,171101,2:35:00 PM,2:50:00 PM,f,False,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,1.4215734142,0.5472747497,0.4527252503,0.0945494994
171101-02-top,171101,3:13:00 PM,3:28:00 PM,m,False,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,1.5048400956,0.8364849833,0.1635150167,0.6729699666
171101-02-bottom,171101,3:13:00 PM,3:28:00 PM,m,False,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,4.4012928972,0.5100111235,0.4899888765,0.0200222469
171101-03-top,171101,3:50:00 PM,4:05:00 PM,f,False,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,4.6447857592,0.4866518354,0.5133481646,-0.0266963293
171101-03-bottom,171101,3:50:00 PM,4:05:00 PM,m,False,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,0.3958412809,0.1612903226,0.8387096774,-0.6774193548
171101-04-top,171101,4:27:00 PM,4:43:00 PM,f,False,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,3.9558643412,0.4627363737,0.5372636263,-0.0745272525
171101-04-bottom,171101,4:27:00 PM,4:43:00 PM,,True,milliQ_water_100uL,E,171031,1:15:00 PM,gcamp,3.4193519886,0.5367074527,0.4632925473,0.0734149055
171102-01-top,171102,10:32:00 AM,10:47:00 AM,f,False,filtered_food_odor_100uL,E,171101,9:30:00 AM,gcamp,4.5985533012,0.7502780868,0.2497219132,0.5005561735
171102-01-bottom,171102,10:32:00 AM,10:47:00 AM,f,False,filtered_food_odor_100uL,E,171101,9:30:00 AM,gcamp,2.8653460087,0.5336297943,0.4663702057,0.0672595887
171102-02-top,171102,11:08:00 AM,11:23:00 AM,m,False,filtered_food_odor_100uL,E,171101,9:30:00 AM,gcamp,1.0878265509,0.3081201335,0.6918798665,-0.383759733
171102-02-bottom,171102,11:08:00 AM,11:23:00 AM,f,False,filtered_food_odor_100uL,E,171101,9:30:00 AM,gcamp,3.8723719105,0.6607341491,0.3392658509,0.3214682981
171102-03-top,171102,11:44:00 AM,11:59:00 AM,f,False,filtered_food_odor_100uL,E,171101,9:30:00 AM,gcamp,3.0597704811,0.6101223582,0.3898776418,0.2202447164
