animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background,A_mean_speed_mm,A_%_time_L_half,A_%_time_R_half,A_PI_(L-R),E_mean_speed_mm,E_%_time_L_half,E_%_time_R_half,E_PI_(L-R)
171018-01-top,171018,2:41:00 PM,2:56:00 PM,f,False,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,2.0772192602486115,0.628476084538376,0.371523915461624,0.256952169076752,2.3779306613688926,0.7636262513904338,0.2363737486095662,0.5272525027808677
171018-01-bottom,171018,2:41:00 PM,2:56:00 PM,m,False,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,1.708342920227173,0.5061179087875417,0.4938820912124583,0.012235817575083408,2.0425195066474666,0.19566425792106726,0.8043357420789328,-0.6086714841578655
171018-02-top,171018,3:17:00 PM,3:32:00 PM,f,False,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,1.2596281600497916,0.19632925472747498,0.803670745272525,-0.60734149054505,1.4380064173973417,0.7413793103448276,0.25862068965517243,0.4827586206896552
171018-02-bottom,171018,3:17:00 PM,3:32:00 PM,f,False,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,2.2250630449415776,0.642023346303502,0.35797665369649806,0.28404669260700394,2.816648867626593,0.3153503893214683,0.6846496106785317,-0.3692992213570634
171018-03-top,171018,3:52:00 PM,4:07:00 PM,,True,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,1.7530051156077937,0.0,1.0,-1.0,2.1067187263442526,0.4738598442714127,0.5261401557285873,-0.0522803114571746
171018-03-bottom,171018,3:52:00 PM,4:07:00 PM,f,False,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,1.6244847233464286,0.8720800889877642,0.12791991101223582,0.7441601779755285,1.7634116515813103,0.5695216907675195,0.43047830923248054,0.13904338153503892
171018-04-top,171018,4:28:00 PM,4:43:00 PM,f,False,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,3.713311333915452,0.4974958263772955,0.5025041736227045,-0.005008347245408995,4.35266641178386,0.46748193440800445,0.5325180655919955,-0.0650361311839911
171018-04-bottom,171018,4:28:00 PM,4:43:00 PM,f,False,milliQ_water_100uL,171017,1:00:00 PM,orco5_gcamp,3.627584893327924,0.5834260289210234,0.41657397107897665,0.1668520578420467,3.668501275658386,0.6012235817575083,0.39877641824249166,0.20244716351501668
171019-01-top,171019,10:42:00 AM,10:57:00 AM,m,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,1.9177437220455158,0.29294052251250696,0.7070594774874931,-0.41411895497498613,1.3075381149212497,0.9371523915461624,0.06284760845383759,0.8743047830923247
171019-01-bottom,171019,10:42:00 AM,10:57:00 AM,m,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,1.870993054766837,0.5945494994438265,0.40545050055617354,0.18909899888765297,2.5193848296523,0.92880978865406,0.07119021134593993,0.8576195773081201
171019-02-top,171019,11:19:00 AM,11:34:00 AM,m,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,2.0072044801829056,0.7465258476931629,0.2534741523068371,0.49305169538632576,3.143222515386542,0.6829810901001112,0.3170189098998888,0.3659621802002224
171019-02-bottom,171019,11:19:00 AM,11:34:00 AM,m,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,1.5177330375989897,0.7759866592551418,0.22401334074485826,0.5519733185102835,1.9327206881142351,0.4972191323692992,0.5027808676307007,-0.005561735261401524
171019-03-top,171019,11:55:00 AM,12:10:00 PM,f,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,0.910588801633071,0.8743047830923248,0.12569521690767518,0.7486095661846497,1.427507598720921,0.44438264738598443,0.5556173526140156,-0.11123470522803114
171019-03-bottom,171019,11:55:00 AM,12:10:00 PM,f,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,2.051669890612432,0.4371523915461624,0.5628476084538376,-0.1256952169076752,2.197746008152426,0.9416017797552837,0.05839822024471635,0.8832035595105674
171019-04-top,171019,12:32:00 PM,12:47:00 PM,m,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,2.5963029469666075,0.7018909899888766,0.29810901001112344,0.4037819799777531,2.5976347627775103,0.5161290322580645,0.4838709677419355,0.032258064516129004
171019-04-bottom,171019,12:32:00 PM,12:47:00 PM,m,False,filtered_food_odor_100uL,171018,10:00:00 AM,orco5_gcamp,1.2482569601992966,0.4972191323692992,0.5027808676307007,-0.005561735261401524,3.0233602094171412,0.8342602892102335,0.1657397107897664,0.6685205784204671
