frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,436.0,194.0,56,436.0,194.0,535,225,False
3,,431.0,191.0,56,431.833333333,191.5,535,225,False
4,,425.0,189.0,56,425.254658385,189.093167702,535,225,False
5,,418.0,182.0,56,418.128898407,182.1428189,535,225,False
6,,414.0,172.0,56,413.99502375,172.114178255,535,225,False
7,,414.0,163.0,56,413.923948448,163.027593421,535,225,False
8,,416.0,158.0,56,415.932406581,157.938181134,535,225,False
9,,420.0,151.0,56,419.937252797,151.009183799,535,225,False
10,,428.0,145.0,56,427.903469837,144.987128546,535,225,False
11,,436.0,141.0,56,435.960521438,140.958750128,535,225,False
12,,445.0,142.0,56,444.967281896,141.893699445,535,225,False
13,,452.0,146.0,56,452.022616542,145.902519891,535,225,False
14,,460.0,152.0,56,459.992259092,151.925226105,535,225,False
15,,466.0,161.0,56,466.032013662,160.916782015,535,225,False
16,,469.0,145.0,56,469.067111052,145.412242858,535,225,False
17,,468.0,144.0,56,468.098999228,143.907316545,535,225,False
18,,459.0,146.0,56,459.183129754,145.900158198,535,225,False
19,,452.0,149.0,56,452.039580522,148.941826295,535,225,False
20,,438.0,152.0,56,438.138234328,151.977314671,535,225,False
21,,427.0,150.0,56,427.003922317,150.080678465,535,225,False
22,,415.0,150.0,56,415.017020345,149.998662944,535,225,False
23,,402.0,147.0,56,402.024924622,147.051507649,535,225,False
24,,389.0,143.0,56,389.010178978,143.03952277,535,225,False
25,,381.0,143.0,56,380.914654776,142.944358091,535,225,False
26,,367.0,142.0,56,367.070942732,141.993730045,535,225,False
27,,357.0,143.0,56,356.96001335,142.962682834,535,225,False
28,,357.0,151.0,56,356.803554164,150.859563043,535,225,False
29,,356.0,142.0,56,355.935930233,142.244819539,535,225,False
30,,350.0,129.0,56,350.065739661,129.176814049,535,225,False
31,,345.0,119.0,56,345.010954599,119.016487096,535,225,False
32,,341.0,106.0,56,340.985598299,106.057289255,535,225,False
33,,343.0,95.0,56,342.886729715,94.9881274421,535,225,False
34,,344.0,84.0,56,343.970455069,83.9939849233,535,225,False
35,,346.0,69.0,56,345.971758274,69.0690273098,535,225,False
36,,349.0,59.0,56,348.970813011,58.9399564943,535,225,False
37,,351.0,50.0,56,351.006064872,49.9556799557,535,225,False
38,,352.0,40.0,56,352.020907622,40.0002675831,535,225,False
39,,353.0,33.0,56,353.008684953,32.9473940616,535,225,False
40,,352.0,28.0,56,352.038952374,27.9421980699,535,225,False
41,,351.0,27.0,56,351.016227309,26.9052832038,535,225,False
42,,348.0,26.0,56,348.041802614,25.9611958904,535,225,False
43,,347.0,29.0,56,346.981618853,28.9140242283,535,225,False
44,,344.0,27.0,56,344.027196483,27.0537148935,535,225,False
45,,343.0,27.0,56,342.976093234,26.9884517327,535,225,False
46,,342.0,26.0,56,341.989460436,26.0120213914,535,225,False
47,,342.0,26.0,56,341.978157452,25.9874254928,535,225,False
48,,341.0,26.0,56,341.008837985,25.9944971166,535,225,False
49,,341.0,25.0,56,340.986270258,25.0157462606,535,225,False
50,,341.0,25.0,56,340.994068039,24.9888842352,535,225,False
51,,341.0,29.0,56,340.997750081,28.9236988722,535,225,False
52,,321.0,28.0,56,321.355886107,28.0572899042,535,225,False
53,,300.0,31.0,56,300.167551631,30.9541100612,535,225,False
54,,305.0,37.0,56,304.600375043,36.9261692244,535,225,False
55,,309.0,33.0,56,308.846777382,33.1481307429,535,225,False
56,,303.0,42.0,56,303.121050215,41.8317440214,535,225,False
57,,300.0,54.0,56,300.000134087,53.8730854194,535,225,False
58,,298.0,67.0,56,297.980060974,66.9317882214,535,225,False
59,,285.0,63.0,56,285.187811447,63.2767934021,535,225,False
60,,293.0,49.0,56,292.704780701,49.2959910439,535,225,False
61,,288.0,43.0,56,288.104361884,42.9768574821,535,225,False
62,,278.0,38.0,56,278.138338789,37.9671512205,535,225,False
63,,264.0,33.0,56,264.127665082,32.9865975522,535,225,False
64,,255.0,30.0,56,254.962043064,29.9592765732,535,225,False
65,,246.0,25.0,56,245.981759359,25.0187846365,535,225,False
66,,235.0,22.0,56,235.028678193,21.9729539638,535,225,False
67,,228.0,20.0,56,227.941041236,19.9704538604,535,225,False
68,,222.0,19.0,56,221.956855846,18.9702198417,535,225,False
69,,218.0,19.0,56,217.947233797,18.970166013,535,225,False
70,,215.0,20.0,56,214.960741301,19.9701475483,535,225,False
71,,213.0,20.0,56,212.96659378,20.0058133979,535,225,False
72,,212.0,19.0,56,211.968814235,19.020813729,535,225,False
73,,212.0,19.0,56,211.969643706,18.9908136217,535,225,False
74,,211.0,19.0,56,211.005625608,18.9957652404,535,225,False
75,,210.0,20.0,56,210.002907409,19.980546509,535,225,False
76,,210.0,20.0,56,209.983286102,20.0097302971,535,225,False
77,,206.0,19.0,56,206.064264082,19.0222755817,535,225,False
78,,178.0,23.0,56,178.455397549,22.9200132602,535,225,False
79,,160.0,28.0,56,160.012017232,27.9481263003,535,225,False
80,,162.0,38.0,56,161.640204921,37.8904284875,535,225,False
81,,170.0,35.0,56,169.74144852,35.1867149569,535,225,False
82,,183.0,44.0,56,182.808496678,43.866445212,535,225,False
83,,179.0,40.0,56,179.227288543,40.172372755,535,225,False
84,,177.0,51.0,56,177.063333901,50.8073320967,535,225,False
85,,173.0,62.0,56,173.058255028,61.9158950801,535,225,False
86,,164.0,76.0,56,164.112552336,75.9145554627,535,225,False
87,,158.0,81.0,56,157.992788146,81.1260916255,535,225,False
88,,169.0,75.0,56,168.691741818,75.2507540295,535,225,False
89,,180.0,70.0,56,179.870484357,70.085374391,535,225,False
90,,188.0,88.0,56,188.004536727,87.6211978786,535,225,False
91,,182.0,107.0,56,182.253926683,106.821327936,535,225,False
92,,180.0,114.0,56,180.035367825,114.145648183,535,225,False
93,,171.0,110.0,56,171.135199835,110.260641776,535,225,False
94,,170.0,124.0,56,169.9135396,123.785966498,535,225,False
95,,171.0,136.0,56,170.925553189,135.941007601,535,225,False
96,,159.0,127.0,56,159.202104267,127.353569993,535,225,False
97,,155.0,126.0,56,154.943636316,126.007062671,535,225,False
98,,151.0,122.0,56,150.972690303,122.050172943,535,225,False
99,,143.0,115.0,56,143.060864981,115.074484267,535,225,False
