frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,472.0,31.0,0,471.333333333,33.0,529,218,False
3,480.0,36.0,0,479.677018634,35.8881987578,529,218,False
4,493.0,47.0,0,492.747691072,46.7725873377,529,218,False
5,488.0,50.0,0,488.2293921,50.0523281127,529,218,False
6,451.0,36.0,0,451.674266147,36.3306048821,529,218,False
7,442.0,37.0,0,441.779801775,36.870421246,529,218,False
8,444.0,39.0,0,443.699146661,38.9217671476,529,218,False
9,444.0,38.0,0,443.913070355,38.0229183351,529,218,False
10,445.0,36.0,0,444.950969723,36.0288705216,529,218,False
11,445.0,34.0,0,444.998766152,34.0117333092,529,218,False
12,445.0,32.0,0,445.0003556,32.0044197388,529,218,False
13,445.0,29.0,0,445.000171562,29.01948586,529,218,False
14,445.0,26.0,0,445.000065811,26.0081163446,529,218,False
15,445.0,23.0,0,445.000024618,23.0030659384,529,218,False
16,446.0,21.0,0,445.982172852,20.9833083496,529,218,False
17,447.0,20.0,0,446.99250199,19.9750889727,529,218,False
18,449.0,19.0,0,448.979328202,18.9898208763,529,218,False
19,441.0,33.0,0,441.169803066,32.7286183688,529,218,False
20,422.0,61.0,0,422.267982461,60.6363378824,529,218,False
21,420.0,64.0,0,419.806459267,64.2978031083,529,218,False
22,421.0,63.0,0,420.860313685,63.2030788885,529,218,False
23,421.0,63.0,0,420.96254045,63.0622609341,529,218,False
24,420.0,62.0,0,420.004573439,62.0403992539,529,218,False
25,420.0,61.0,0,419.984755267,61.0158802252,529,218,False
26,420.0,61.0,0,419.993506943,60.9881218512,529,218,False
27,419.0,60.0,0,419.01537745,60.0125574846,529,218,False
28,419.0,60.0,0,418.988746785,59.9876568416,529,218,False
29,419.0,59.0,0,418.994992953,59.0124211808,529,218,False
30,419.0,58.0,0,418.9980949,58.005444138,529,218,False
31,419.0,57.0,0,418.999288079,57.0020680952,529,218,False
32,419.0,56.0,0,418.999734567,56.0007726763,529,218,False
33,419.0,56.0,0,418.999901065,55.98245175,529,218,False
34,418.0,54.0,0,418.017799453,54.0282785984,529,218,False
35,418.0,53.0,0,417.989651361,52.994369811,529,218,False
36,418.0,53.0,0,417.995330191,52.9792913951,529,218,False
37,418.0,51.0,0,417.998220598,51.0270636502,529,218,False
38,417.0,49.0,0,417.017171256,49.0117515365,529,218,False
39,416.0,47.0,0,416.007253461,47.0044596326,529,218,False
40,415.0,45.0,0,415.002744319,45.0016659854,529,218,False
41,414.0,42.0,0,414.001024804,42.0184574483,529,218,False
42,413.0,40.0,0,413.000382054,39.9898966143,529,218,False
43,412.0,38.0,0,412.000142402,37.9954216016,529,218,False
44,411.0,36.0,0,411.000053076,35.9982546683,529,218,False
45,410.0,35.0,0,410.000019782,34.9815112993,529,218,False
46,409.0,61.0,0,409.000007373,60.5106744843,529,218,False
47,400.0,73.0,0,400.142693369,73.0442425142,529,218,False
48,401.0,74.0,0,400.881649204,74.223534467,529,218,False
49,404.0,74.0,0,403.912007374,74.1110591906,529,218,False
50,404.0,73.0,0,404.01861283,73.0605575052,529,218,False
51,406.0,72.0,0,405.973724816,72.0234878079,529,218,False
52,408.0,72.0,0,407.98861745,71.9909618264,529,218,False
53,409.0,72.0,0,409.013517816,71.9957798752,529,218,False
54,410.0,71.0,0,410.005888217,71.0162226757,529,218,False
55,412.0,71.0,0,411.984398974,70.9890617216,529,218,False
56,412.0,71.0,0,412.029006301,70.9951103306,529,218,False
57,413.0,70.0,0,412.99464113,70.015974976,529,218,False
58,414.0,70.0,0,413.997228852,69.9889694887,529,218,False
59,415.0,70.0,0,414.99893012,69.9950759582,529,218,False
60,415.0,70.0,0,415.017435795,69.9981258374,529,218,False
61,416.0,70.0,0,415.989515735,69.9992996095,529,218,False
62,417.0,70.0,0,416.995279638,69.9997388646,529,218,False
63,417.0,70.0,0,417.016038084,69.9999026666,529,218,False
64,417.0,70.0,0,417.006829338,69.9999637221,529,218,False
65,418.0,69.0,0,417.984749829,69.0178228063,529,218,False
66,418.0,69.0,0,418.011300746,68.9896600648,529,218,False
67,419.0,69.0,0,418.987188439,68.9953334356,529,218,False
68,419.0,69.0,0,419.0122466,68.9982218075,529,218,False
