frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,102.0,164.0,31,101.666666667,163.833333333,530,199,False
3,,103.0,167.0,31,102.950310559,166.881987578,530,199,False
4,,108.0,166.0,31,107.896533262,166.031722661,530,199,False
5,,112.0,167.0,31,111.975273718,166.978909357,530,199,False
6,,115.0,167.0,31,115.009356704,167.008465623,530,199,False
7,,117.0,167.0,31,117.022223718,167.003937182,530,199,False
8,,117.0,167.0,31,117.044855453,167.001504879,530,199,False
9,,119.0,166.0,31,118.982795461,166.018399214,530,199,False
10,,120.0,165.0,31,120.009800575,165.007711326,530,199,False
11,,121.0,165.0,31,121.004428698,164.98507865,530,199,False
12,,121.0,165.0,31,121.019524101,164.99358698,530,199,False
13,,122.0,163.0,31,121.99029594,163.033241671,530,199,False
14,,125.0,161.0,31,124.959897866,161.014094848,530,199,False
15,,131.0,159.0,31,130.92979833,159.005334967,530,199,False
16,,136.0,158.0,31,135.989026856,157.984156002,530,199,False
17,,130.0,148.0,31,130.192836764,148.153768275,530,199,False
18,,124.0,145.0,31,124.081297161,144.940098695,530,199,False
19,,113.0,146.0,31,113.11993332,145.900719311,530,199,False
20,,117.0,140.0,31,116.781445451,140.08416819,530,199,False
21,,120.0,138.0,31,119.923779577,137.965824145,530,199,False
22,,123.0,137.0,31,122.971842154,136.966289067,530,199,False
23,,126.0,137.0,31,125.989517135,136.968595422,530,199,False
24,,127.0,136.0,31,127.031766105,136.00522977,530,199,False
25,,128.0,135.0,31,128.01354686,135.002759629,530,199,False
26,,128.0,135.0,31,128.022967146,134.983231011,530,199,False
27,,129.0,134.0,31,128.991581349,134.010734565,530,199,False
28,,131.0,132.0,31,130.978213387,132.022650065,530,199,False
29,,136.0,128.0,31,135.93747837,128.045007138,530,199,False
30,,143.0,127.0,31,142.938421189,126.965015695,530,199,False
31,,151.0,127.0,31,150.957380602,126.966647546,530,199,False
32,,153.0,128.0,31,153.090191847,127.968760608,530,199,False
33,,154.0,128.0,31,154.056528525,128.005292848,530,199,False
34,,158.0,129.0,31,157.968656552,128.984946884,530,199,False
35,,162.0,132.0,31,161.985809611,131.957902044,530,199,False
36,,170.0,137.0,31,169.923245684,136.946890682,530,199,False
37,,174.0,143.0,31,174.039317819,142.960578337,530,199,False
38,,179.0,151.0,31,179.0000686,150.948695034,530,199,False
39,,180.0,157.0,31,180.070672876,157.014798441,530,199,False
40,,179.0,160.0,31,179.065394353,160.060647862,530,199,False
41,,180.0,164.0,31,179.990569732,164.00740642,530,199,False
42,,180.0,166.0,31,180.01270384,166.037705841,530,199,False
43,,179.0,168.0,31,179.023347389,168.015725859,530,199,False
44,,180.0,169.0,31,179.973919976,169.023777625,530,199,False
45,,181.0,171.0,31,180.988615082,170.991883347,530,199,False
46,,183.0,169.0,31,182.977840684,169.067507581,530,199,False
47,,185.0,167.0,31,184.990883512,167.028536463,530,199,False
48,,187.0,164.0,31,186.996561116,164.028633833,530,199,False
49,,189.0,162.0,31,188.998716312,161.99369723,530,199,False
50,,191.0,160.0,31,190.999521456,159.996838519,530,199,False
51,,193.0,158.0,31,192.999821635,157.998782793,530,199,False
52,,195.0,156.0,31,194.99993352,155.999544468,530,199,False
