frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,422.0,14.0,26,420.5,14.3333333333,522,204,False
3,,424.0,14.0,26,423.869565217,14.0124223602,522,204,False
4,,425.0,15.0,26,424.989693481,14.9773791996,522,204,False
5,,444.0,21.0,26,443.66721849,20.8982611412,522,204,False
6,,446.0,18.0,26,446.164603354,18.1187859055,522,204,False
7,,446.0,17.0,26,446.110867676,17.0160853291,522,204,False
8,,445.0,16.0,26,445.061529989,16.0046462365,522,204,False
9,,444.0,15.0,26,444.023900253,15.0016671672,522,204,False
10,,443.0,15.0,26,443.008954272,14.9827819337,522,204,False
11,,442.0,15.0,26,442.003339609,14.992728854,522,204,False
12,,440.0,14.0,26,440.019081158,14.0150854062,522,204,False
13,,439.0,14.0,26,438.990129077,13.9886378387,522,204,False
14,,439.0,13.0,26,438.977671916,13.0127886703,522,204,False
15,,437.0,28.0,26,437.026458184,27.7201999542,522,204,False
16,,448.0,32.0,26,447.779653522,32.078295875,522,204,False
17,,469.0,49.0,26,468.728493594,48.8060472763,522,204,False
18,,478.0,46.0,26,478.103778537,46.2737592606,522,204,False
19,,482.0,48.0,26,482.137670499,48.0294128164,522,204,False
20,,475.0,52.0,26,475.252248717,51.9718146458,522,204,False
21,,475.0,52.0,26,474.978778522,52.0589667672,522,204,False
22,,484.0,66.0,26,483.826048735,65.7755938155,522,204,False
23,,490.0,68.0,26,489.980728738,68.118605575,522,204,False
24,,493.0,62.0,26,493.048506711,62.1965752007,522,204,False
25,,497.0,54.0,26,497.002907889,54.1162308841,522,204,False
26,,500.0,46.0,26,500.018194118,46.0453770933,522,204,False
27,,504.0,22.0,26,503.989763715,22.3023923731,522,204,False
28,,501.0,19.0,26,501.120224698,18.7518050502,522,204,False
29,,499.0,24.0,26,499.032909203,23.7475323529,522,204,False
30,,497.0,22.0,26,497.011696271,22.0231007526,522,204,False
31,,496.0,20.0,26,495.986495799,20.0142185891,522,204,False
32,,496.0,18.0,26,495.976275586,18.0055678856,522,204,False
33,,497.0,17.0,26,496.972426751,16.984251753,522,204,False
34,,498.0,16.0,26,497.988826663,15.9932774424,522,204,False
35,,498.0,16.0,26,498.013628958,15.9796172543,522,204,False
36,,498.0,15.0,26,498.005931228,15.0093838532,522,204,False
37,,499.0,15.0,26,498.984415081,14.9864737969,522,204,False
38,,498.0,15.0,26,498.029012308,14.9941439055,522,204,False
39,,499.0,15.0,26,498.976807041,14.9977783576,522,204,False
40,,499.0,15.0,26,499.007564582,14.9991700941,522,204,False
41,,499.0,15.0,26,499.003595117,14.9996905921,522,204,False
42,,499.0,15.0,26,499.001377075,14.9998846746,522,204,False
43,,500.0,15.0,26,499.982678706,14.9999570163,522,204,False
44,,500.0,15.0,26,500.010526942,14.9999839793,522,204,False
45,,499.0,15.0,26,499.022572596,14.9999940288,522,204,False
46,,499.0,15.0,26,498.991469277,14.9999977745,522,204,False
47,,499.0,15.0,26,498.996009618,14.9999991705,522,204,False
48,,499.0,15.0,26,498.99847392,14.9999996908,522,204,False
49,,499.0,15.0,26,498.99942935,14.9999998848,522,204,False
50,,499.0,15.0,26,498.999787221,14.9999999571,522,204,False
51,,500.0,15.0,26,499.982084362,14.999999984,522,204,False
52,,499.0,15.0,26,499.028141663,14.999999994,522,204,False
53,,499.0,15.0,26,498.994318773,14.9999999978,522,204,False
54,,499.0,15.0,26,498.9971087,14.9999999992,522,204,False
55,,500.0,15.0,26,499.981049009,14.9999999997,522,204,False
56,,499.0,15.0,26,499.027753999,14.9999999999,522,204,False
57,,499.0,15.0,26,498.9941742,15.0,522,204,False
58,,500.0,15.0,26,499.979218484,15.0,522,204,False
59,,500.0,15.0,26,500.009200147,15.0,522,204,False
60,,499.0,15.0,26,499.022076303,15.0,522,204,False
61,,499.0,15.0,26,498.991284216,15.0,522,204,False
62,,499.0,15.0,26,498.995940639,15.0,522,204,False
63,,499.0,15.0,26,498.99844821,15.0,522,204,False
64,,499.0,15.0,26,498.999419767,15.0,522,204,False
65,,498.0,16.0,26,498.017619977,15.9821636724,522,204,False
