frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,123.0,32.0,16,124.833333333,33.0,545,236,False
3,,114.0,31.0,16,114.403726708,31.0745341615,545,236,False
4,,112.0,33.0,16,112.008298755,32.9504751707,545,236,False
5,,111.0,34.0,16,110.977733555,33.9959388091,545,236,False
6,,95.0,38.0,16,95.2591581011,37.94544155,545,236,False
7,,88.0,39.0,16,87.9487819183,39.0306648408,545,236,False
8,,86.0,39.0,16,85.8846471153,39.0317079085,545,236,False
9,,87.0,40.0,16,86.8988898486,39.9949519512,545,236,False
10,,87.0,40.0,16,86.9773698789,40.0151477416,545,236,False
11,,87.0,40.0,16,86.992285874,40.0064607311,545,236,False
12,,87.0,40.0,16,86.997159305,40.0024470124,545,236,False
13,,74.0,37.0,16,74.2308151391,37.0544228884,545,236,False
14,,71.0,39.0,16,70.9187614139,38.9336633738,545,236,False
15,,68.0,40.0,16,67.9617165584,39.9889663997,545,236,False
16,,67.0,41.0,16,66.9496754593,40.9965427958,545,236,False
17,,67.0,42.0,16,66.9616814947,41.998742801,545,236,False
18,,67.0,42.0,16,66.9847819747,42.0173692507,545,236,False
19,,67.0,42.0,16,66.99428321,42.0073274171,545,236,False
20,,67.0,43.0,16,66.9978671208,42.9849355637,545,236,False
21,,86.0,41.0,16,85.6603147163,41.0470426321,545,236,False
22,,85.0,43.0,16,85.2139030087,42.9487081239,545,236,False
23,,86.0,46.0,16,86.0603473632,45.9597527582,545,236,False
24,,87.0,49.0,16,87.0215650724,48.9839880589,545,236,False
25,,89.0,51.0,16,88.9901569288,51.0118200416,545,236,False
26,,91.0,52.0,16,90.9954756536,52.0230930818,545,236,False
27,,78.0,47.0,16,78.2658176719,47.1165194068,545,236,False
28,,72.0,47.0,16,71.9870214572,46.9594110833,545,236,False
29,,71.0,48.0,16,70.9006187596,47.9630148959,545,236,False
30,,55.0,48.0,16,55.2259795925,48.0030054437,545,236,False
31,,53.0,50.0,16,52.8471043444,49.966251024,545,236,False
32,,53.0,51.0,16,52.8959933071,51.0035889001,545,236,False
33,,52.0,53.0,16,51.976821285,52.9842750155,545,236,False
34,,51.0,57.0,16,50.9921068153,56.9576498685,545,236,False
35,,48.0,57.0,16,48.0327664383,57.0538145733,545,236,False
36,,35.0,57.0,16,35.1922846565,57.0233881891,545,236,False
37,,37.0,61.0,16,36.8127398938,60.937531216,545,236,False
38,,37.0,76.0,16,36.9534869396,75.7771107136,545,236,False
39,,37.0,84.0,16,36.9837780148,84.0322278638,545,236,False
40,,36.0,96.0,16,36.0118434625,95.9461843025,545,236,False
41,,42.0,102.0,16,41.8804160576,102.083809848,545,236,False
42,,44.0,103.0,16,44.0208405964,103.125389456,545,236,False
43,,44.0,103.0,16,44.0465705322,103.069076565,545,236,False
44,,50.0,120.0,16,49.9121965035,119.723597504,545,236,False
45,,52.0,124.0,16,52.0335871088,124.11439347,545,236,False
46,,52.0,125.0,16,52.0513644919,125.106549499,545,236,False
47,,52.0,125.0,16,52.0210033158,125.060607537,545,236,False
48,,44.0,141.0,16,44.1506078404,140.738208045,545,236,False
49,,47.0,145.0,16,46.8667669787,145.10285296,545,236,False
50,,47.0,146.0,16,46.9947888229,146.101435303,545,236,False
51,,46.0,147.0,16,46.0180210484,147.04082617,545,236,False
52,,47.0,147.0,16,46.9719994132,147.033197374,545,236,False
53,,47.0,147.0,16,47.0057386794,147.013233645,545,236,False
54,,48.0,163.0,16,47.9850766189,162.719592319,545,236,False
55,,50.0,170.0,16,49.9757849826,170.04235973,545,236,False
56,,49.0,171.0,16,49.0435910408,171.129834659,545,236,False
57,,45.0,189.0,16,45.0722739926,188.750631507,545,236,False
58,,46.0,190.0,16,45.9404371621,190.196024781,545,236,False
59,,47.0,191.0,16,46.973660529,191.086890045,545,236,False
60,,47.0,191.0,16,47.0078211072,191.050883349,545,236,False
61,,47.0,191.0,16,47.0037591259,191.019850233,545,236,False
62,,47.0,191.0,16,47.0014414774,191.007440849,545,236,False
63,,47.0,191.0,16,47.0005391938,191.002775346,545,236,False
64,,47.0,191.0,16,47.0002010583,191.001034511,545,236,False
65,,47.0,191.0,16,47.0000749419,191.000385583,545,236,False
66,,47.0,191.0,16,47.0000279322,191.000143713,545,236,False
67,,47.0,191.0,16,47.0000104108,191.000053564,545,236,False
68,,50.0,200.0,16,49.9464948975,199.839493016,545,236,False
69,,52.0,198.0,16,51.9953334779,198.128694157,545,236,False
70,,52.0,198.0,16,52.0346643885,198.021315157,545,236,False
71,,52.0,199.0,16,52.0146620504,198.988832766,545,236,False
72,,48.0,203.0,16,48.0768934499,202.941414225,545,236,False
73,,48.0,202.0,16,47.9607322838,202.064741376,545,236,False
74,,49.0,201.0,16,48.9642773353,201.028273263,545,236,False
75,,50.0,200.0,16,49.9856764954,200.01073615,545,236,False
76,,50.0,200.0,16,50.0124494463,199.986174688,545,236,False
77,,51.0,199.0,16,50.9876550201,199.011830317,545,236,False
78,,40.0,192.0,16,40.2086219453,192.11224004,545,236,False
79,,40.0,191.0,16,39.8917608068,190.939975867,545,236,False
80,,42.0,191.0,16,41.9150840914,190.954917347,545,236,False
81,,45.0,191.0,16,44.9483811419,190.982110179,545,236,False
82,,46.0,190.0,16,46.0154778778,190.011116507,545,236,False
83,,46.0,190.0,16,46.0252665562,189.987158035,545,236,False
84,,43.0,197.0,16,43.0638592807,196.869546478,545,236,False
85,,39.0,196.0,16,39.0442429902,196.088054781,545,236,False
86,,34.0,192.0,16,34.035304606,192.092869032,545,236,False
87,,29.0,188.0,16,29.0140589409,188.037487395,545,236,False
88,,32.0,187.0,16,31.8625924495,186.960600664,545,236,False
89,,34.0,189.0,16,33.9597960151,188.929252184,545,236,False
90,,35.0,190.0,16,35.0033785664,189.988784628,545,236,False
91,,35.0,190.0,16,35.0199743442,190.014381355,545,236,False
92,,35.0,191.0,16,35.0083403573,190.988412086,545,236,False
93,,36.0,191.0,16,35.9853151111,191.012706283,545,236,False
94,,36.0,191.0,16,36.0115115362,191.005550573,545,236,False
95,,37.0,191.0,16,36.9872670086,191.002107773,545,236,False
96,,37.0,191.0,16,37.0122758844,191.000787465,545,236,False
97,,37.0,191.0,16,37.0053899838,191.00029359,545,236,False
98,,37.0,191.0,16,37.0020479111,191.00010943,545,236,False
99,,44.0,172.0,16,43.8759108602,172.338931011,545,236,False
100,,46.0,168.0,16,46.0369568878,167.874997495,545,236,False
101,,46.0,170.0,16,46.053428924,169.834364393,545,236,False
102,,46.0,170.0,16,46.0218114504,169.968240802,545,236,False
103,,37.0,162.0,16,37.1687472237,162.132287972,545,236,False
104,,40.0,159.0,16,39.8565451251,158.967021239,545,236,False
105,,41.0,158.0,16,40.972329946,157.948097921,545,236,False
106,,41.0,156.0,16,41.0087578292,155.996596068,545,236,False
107,,45.0,150.0,16,44.9328315058,150.07083946,545,236,False
108,,51.0,136.0,16,50.9359220548,136.172544317,545,236,False
109,,52.0,135.0,16,52.0634303883,134.839431263,545,236,False
110,,53.0,134.0,16,53.0278198609,133.92939198,545,236,False
111,,53.0,134.0,16,53.0284051733,133.955331984,545,236,False
112,,54.0,134.0,16,53.9936138442,133.982473341,545,236,False
113,,46.0,120.0,16,46.1573344761,120.243134105,545,236,False
114,,48.0,118.0,16,47.8879208579,117.888531695,545,236,False
115,,49.0,121.0,16,48.9678928853,120.85960147,545,236,False
116,,48.0,122.0,16,48.0241684325,121.97861337,545,236,False
117,,47.0,123.0,16,47.0107372011,122.99350961,545,236,False
118,,47.0,123.0,16,46.9862483456,123.01548812,545,236,False
119,,45.0,121.0,16,45.0296976037,121.042302265,545,236,False
120,,51.0,129.0,16,50.8700445922,128.839151555,545,236,False
121,,52.0,135.0,16,52.03399654,134.967270038,545,236,False
122,,52.0,136.0,16,52.0344521943,136.078285329,545,236,False
123,,43.0,143.0,16,43.1744101491,142.926490311,545,236,False
124,,42.0,149.0,16,41.9300466301,148.985524003,545,236,False
125,,44.0,150.0,16,43.9139598618,150.084404605,545,236,False
126,,45.0,151.0,16,44.9828981008,151.03575628,545,236,False
127,,44.0,152.0,16,44.0300147422,152.013532566,545,236,False
128,,45.0,152.0,16,44.9772556929,152.022889964,545,236,False
129,,44.0,152.0,16,44.0255717194,152.009385471,545,236,False
130,,47.0,173.0,16,46.9398150736,172.628976099,545,236,False
131,,48.0,175.0,16,48.0099045492,175.18268114,545,236,False
132,,42.0,181.0,16,42.1300933318,181.012102679,545,236,False
133,,42.0,190.0,16,41.9475187822,189.948322686,545,236,False
134,,43.0,192.0,16,42.9577712367,192.102904475,545,236,False
135,,45.0,200.0,16,44.9653395755,199.937182347,545,236,False
136,,44.0,196.0,16,44.0396850392,196.185781246,545,236,False
137,,44.0,195.0,16,43.9994722411,195.025745552,545,236,False
138,,32.0,194.0,16,32.213106136,194.007514163,545,236,False
139,,34.0,192.0,16,33.8399269663,192.020537356,545,236,False
140,,35.0,191.0,16,34.946713312,190.990667052,545,236,False
141,,37.0,191.0,16,36.9626079822,190.977872199,545,236,False
142,,38.0,192.0,16,38.0030607894,191.973023839,545,236,False
143,,39.0,193.0,16,39.0019542138,192.989049303,545,236,False
144,,39.0,194.0,16,39.0186036189,193.995875616,545,236,False
145,,39.0,194.0,16,39.007789276,194.016297054,545,236,False
146,,39.0,194.0,16,39.0029441189,194.006927623,545,236,False
147,,38.0,178.0,16,38.0189356049,178.288004115,545,236,False
148,,37.0,174.0,16,37.0079112432,173.90696652,545,236,False
149,,38.0,173.0,16,37.9673168381,172.902226951,545,236,False
150,,40.0,173.0,16,39.9682769934,172.942702595,545,236,False
151,,40.0,172.0,16,40.0229138442,171.995482645,545,236,False
152,,39.0,172.0,16,39.0280390349,171.981285782,545,236,False
153,,39.0,172.0,16,38.9935473625,171.992209926,545,236,False
154,,39.0,172.0,16,38.9967860981,171.997057518,545,236,False
155,,39.0,171.0,16,38.9987634192,171.016737753,545,236,False
156,,46.0,172.0,16,45.8746829617,171.971419232,545,236,False
157,,60.0,166.0,16,59.8224631221,166.112535527,545,236,False
158,,63.0,165.0,16,63.1237680382,164.958657253,545,236,False
159,,63.0,165.0,16,63.1087287658,164.962768915,545,236,False
160,,58.0,174.0,16,58.1327021745,173.824552161,545,236,False
161,,52.0,179.0,16,52.0717076164,178.998221203,545,236,False
162,,52.0,181.0,16,51.920773218,181.055890219,545,236,False
163,,51.0,182.0,16,50.9832368853,182.041373828,545,236,False
164,,50.0,181.0,16,49.9943630445,181.052076388,545,236,False
165,,55.0,185.0,16,54.89091029,184.931982194,545,236,False
166,,56.0,185.0,16,56.0255659467,185.041810181,545,236,False
167,,56.0,186.0,16,56.0305343686,186.000960986,545,236,False
168,,45.0,177.0,16,45.2085854535,177.178021698,545,236,False
169,,32.0,181.0,16,32.1228529082,180.842981263,545,236,False
170,,28.0,171.0,16,27.8874209536,171.180495895,545,236,False
171,,28.0,182.0,16,27.8791160269,181.704148994,545,236,False
172,,24.0,184.0,16,24.0225130825,184.03288138,545,236,False
173,,30.0,190.0,16,29.833261187,189.947760521,545,236,False
174,,33.0,192.0,16,32.9829820177,192.048788447,545,236,False
175,,35.0,193.0,16,35.0136530756,193.039287066,545,236,False
176,,36.0,194.0,16,36.0238819458,194.015652772,545,236,False
177,,36.0,195.0,16,36.0276368471,195.005882356,545,236,False
178,,36.0,196.0,16,36.0111972745,196.002194757,545,236,False
179,,36.0,197.0,16,36.0042163027,197.00081813,545,236,False
180,,36.0,198.0,16,36.001573534,198.000304935,545,236,False
181,,36.0,199.0,16,36.0005865785,199.000113654,545,236,False
182,,36.0,200.0,16,36.0002186315,200.000042361,545,236,False
183,,37.0,200.0,16,36.9822451599,200.017852116,545,236,False
