frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,29.0,140.0,manual,29.0,140.0,536,221,False
3,,29.0,140.0,manual,29.0,140.0,536,221,False
4,,29.0,140.0,manual,29.0,140.0,536,221,False
5,,29.0,140.0,manual,29.0,140.0,536,221,False
6,,29.0,140.0,manual,29.0,140.0,536,221,False
7,,29.0,140.0,14,29.0,140.0,536,221,False
8,,30.0,140.0,14,29.8333333333,140.0,536,221,False
9,,30.0,141.0,14,29.9937888199,140.962732919,536,221,False
10,,31.0,141.0,14,30.9789854103,141.003212421,536,221,False
11,,30.0,141.0,14,30.0279289894,141.002051504,536,221,False
12,,31.0,141.0,14,30.9763092006,141.000806044,536,221,False
13,,31.0,141.0,14,31.0073836632,141.000302423,536,221,False
14,,31.0,141.0,14,31.0035279881,141.000112814,536,221,False
15,,31.0,141.0,14,31.0013520716,141.000042052,536,221,False
16,,31.0,141.0,14,31.000505715,141.000015674,536,221,False
17,,31.0,141.0,14,31.0001885728,141.000005842,536,221,False
18,,32.0,141.0,14,31.9822339599,141.000002177,536,221,False
19,,32.0,141.0,14,32.0103610931,141.000000812,536,221,False
20,,32.0,140.0,14,32.0046744503,140.01783663,536,221,False
21,,33.0,141.0,14,32.9839448041,140.97182889,536,221,False
22,,35.0,140.0,14,34.9753279567,140.023506579,536,221,False
23,,40.0,140.0,14,39.9364010511,139.992552314,536,221,False
24,,42.0,139.0,14,42.0272012041,139.01428478,536,221,False
25,,42.0,140.0,14,42.048247049,139.97046794,536,221,False
26,,35.0,143.0,14,35.1446604058,142.951652246,536,221,False
27,,35.0,144.0,14,34.9351250458,144.015865763,536,221,False
28,,37.0,146.0,14,36.934462647,145.989698689,536,221,False
29,,36.0,148.0,14,36.027103041,147.995384586,536,221,False
30,,35.0,149.0,14,35.0125676833,149.016078959,536,221,False
31,,33.0,148.0,14,33.0226385049,148.042517312,536,221,False
32,,31.0,148.0,14,31.0092969244,147.999758407,536,221,False
33,,30.0,147.0,14,29.9856698961,147.016976368,536,221,False
34,,30.0,147.0,14,29.9759710315,146.98930774,536,221,False
35,,29.0,146.0,14,29.0079860504,146.013036683,536,221,False
36,,29.0,146.0,14,28.9859509576,145.987837226,536,221,False
37,,29.0,146.0,14,28.9939489464,145.994652171,536,221,False
38,,29.0,147.0,14,28.9977056891,146.980131473,536,221,False
39,,28.0,146.0,14,28.0169793368,146.027411926,536,221,False
40,,28.0,146.0,14,27.9893456015,145.994046699,536,221,False
41,,28.0,145.0,14,27.995216226,145.014843617,536,221,False
42,,29.0,146.0,14,28.9803417939,145.970676316,536,221,False
43,,29.0,147.0,14,29.0096539923,146.98740257,536,221,False
44,,28.0,146.0,14,28.0222471415,146.030897576,536,221,False
45,,29.0,146.0,14,28.9735116429,145.995382971,536,221,False
46,,29.0,146.0,14,29.0062993006,145.997507115,536,221,False
47,,30.0,146.0,14,29.985285427,145.999033917,536,221,False
48,,27.0,134.0,14,27.0,134.0,536,221,False
49,,31.0,142.0,14,30.3333333333,140.666666667,536,221,False
50,,28.0,136.0,14,28.0869565217,136.173913043,536,221,False
51,,39.0,142.0,14,38.7554544238,141.85570874,536,221,False
52,,36.0,142.0,14,36.1516514116,142.045684093,536,221,False
53,,21.0,133.0,14,21.0,133.0,536,221,False
54,,21.0,130.0,14,21.0,130.5,536,221,False
55,,21.0,130.0,14,21.0,130.5,536,221,False
56,1.0,21.6153846154,130.846153846,14,21.6153846154,131.326923077,536,221,False
57,1.0,22.2307692308,131.692307692,14,22.2307692308,132.153846154,536,221,False
58,1.0,22.8461538462,132.538461538,14,22.8461538462,132.980769231,536,221,False
59,1.0,23.4615384615,133.384615385,14,23.4615384615,133.807692308,536,221,False
60,1.0,24.0769230769,134.230769231,14,24.0769230769,134.634615385,536,221,False
61,1.0,24.6923076923,135.076923077,14,24.6923076923,135.461538462,536,221,False
62,1.0,25.3076923077,135.923076923,14,25.3076923077,136.288461538,536,221,False
63,1.0,25.9230769231,136.769230769,14,25.9230769231,137.115384615,536,221,False
64,1.0,26.5384615385,137.615384615,14,26.5384615385,137.942307692,536,221,False
65,1.0,27.1538461538,138.461538462,14,27.1538461538,138.769230769,536,221,False
66,1.0,27.7692307692,139.307692308,14,27.7692307692,139.596153846,536,221,False
67,1.0,28.3846153846,140.153846154,14,28.3846153846,140.423076923,536,221,False
68,1.0,29.0,141.0,14,29.0,141.25,536,221,False
69,1.0,29.6153846154,141.846153846,14,29.6153846154,142.076923077,536,221,False
70,1.0,30.2307692308,142.692307692,14,30.2307692308,142.903846154,536,221,False
71,1.0,30.8461538462,143.538461538,14,30.8461538462,143.730769231,536,221,False
72,1.0,31.4615384615,144.384615385,14,31.4615384615,144.557692308,536,221,False
73,1.0,32.0769230769,145.230769231,14,32.0769230769,145.384615385,536,221,False
74,1.0,32.6923076923,146.076923077,14,32.6923076923,146.211538462,536,221,False
75,1.0,33.3076923077,146.923076923,14,33.3076923077,147.038461538,536,221,False
76,1.0,33.9230769231,147.769230769,14,33.9230769231,147.865384615,536,221,False
77,1.0,34.5384615385,148.615384615,14,34.5384615385,148.692307692,536,221,False
78,1.0,35.1538461538,149.461538462,14,35.1538461538,149.519230769,536,221,False
79,1.0,35.7692307692,150.307692308,14,35.7692307692,150.346153846,536,221,False
80,1.0,36.3846153846,151.153846154,14,36.3846153846,151.173076923,536,221,False
81,,37.0,152.0,14,37.0,152.0,536,221,False
82,,36.0,153.0,14,36.1666666667,152.833333333,536,221,False
83,,35.0,153.0,14,35.0434782609,152.99378882,536,221,False
84,,35.0,154.0,14,34.9962521751,153.97898541,536,221,False
85,,34.0,154.0,14,34.0159840209,154.009551547,536,221,False
86,,34.0,156.0,14,33.9888836486,155.968573177,536,221,False
87,,34.0,158.0,14,33.9950390153,157.986610896,536,221,False
88,,33.0,158.0,14,33.0159496058,158.030605018,536,221,False
89,,32.0,159.0,14,32.0067964332,158.995273877,536,221,False
90,,32.0,159.0,14,31.984737541,159.015302806,536,221,False
91,,31.0,160.0,14,31.0112961689,159.988683873,536,221,False
92,,32.0,160.0,14,31.9693504046,160.012804154,536,221,False
93,,33.0,164.0,14,32.9869082043,163.934241576,536,221,False
94,,35.0,165.0,14,34.9772043265,165.025624555,536,221,False
95,,38.0,167.0,14,37.9728099957,166.994113491,536,221,False
96,,37.0,171.0,14,37.0603165897,170.961394605,536,221,False
97,,43.0,179.0,14,42.9009980507,178.912523396,536,221,False
98,,40.0,181.0,14,40.1178138295,181.070916471,536,221,False
99,,48.0,170.0,14,47.8551152406,170.263257891,536,221,False
100,,49.0,168.0,14,49.0618186815,167.948926647,536,221,False
101,,49.0,167.0,14,49.0464196491,166.955988176,536,221,False
102,,49.0,166.0,14,49.0184201136,165.982400889,536,221,False
103,,49.0,165.0,14,49.006918999,164.993383344,536,221,False
104,,47.0,166.0,14,47.0382540344,165.961858478,536,221,False
