frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,509.0,116.0,27,509.166666667,115.833333333,541,228,False
3,,507.0,119.0,27,507.080745342,118.881987578,541,228,False
4,,507.0,119.0,27,506.993039754,119.010172668,541,228,False
5,,504.0,105.0,27,504.050687401,105.263780622,541,228,False
6,,488.0,89.0,27,488.254317518,89.146680789,541,228,False
7,,478.0,72.0,27,477.998984436,72.0748355488,541,228,False
8,,476.0,70.0,27,475.852334102,69.7612907882,541,228,False
9,,492.0,64.0,27,491.616856524,63.9696170732,541,228,False
10,,509.0,61.0,27,508.823658603,60.9379704708,541,228,False
11,,511.0,62.0,27,511.200214867,61.903108807,541,228,False
12,,505.0,72.0,27,505.230040361,71.7998298548,541,228,False
13,,508.0,69.0,27,507.932650127,69.1494147987,541,228,False
14,,507.0,50.0,27,507.03891687,50.3517909882,541,228,False
15,,503.0,44.0,27,503.071077542,43.9134156172,541,228,False
16,,481.0,35.0,27,481.350252875,35.0108194924,541,228,False
17,,463.0,38.0,27,463.07469293,37.7920587748,541,228,False
18,,447.0,31.0,27,446.989493757,31.0907163654,541,228,False
19,,438.0,35.0,27,437.869394844,34.8456619251,541,228,False
20,,417.0,39.0,27,417.159294657,38.9334719226,541,228,False
21,,398.0,36.0,27,398.033651484,36.0996273755,541,228,False
22,,393.0,38.0,27,392.761603001,37.9539053068,541,228,False
23,,364.0,38.0,27,364.327208915,38.0145096037,541,228,False
24,,356.0,40.0,27,355.767303642,39.9712518151,541,228,False
25,,353.0,42.0,27,352.807116949,41.9876505655,541,228,False
26,,351.0,41.0,27,350.905193213,41.0488279378,541,228,False
27,,349.0,41.0,27,348.963567394,41.0029195278,541,228,False
28,,349.0,41.0,27,348.950695873,41.000356956,541,228,False
29,,349.0,41.0,27,348.979913966,41.0000980515,541,228,False
30,,348.0,40.0,27,348.01026814,40.0178711984,541,228,False
31,,349.0,39.0,27,348.969004082,39.0075143487,541,228,False
32,,348.0,38.0,27,348.022453543,38.0028415563,541,228,False
33,,349.0,37.0,27,348.974323494,37.0010610462,541,228,False
34,,349.0,36.0,27,349.00663706,36.0003955617,541,228,False
35,,349.0,34.0,27,349.003249326,34.017983764,541,228,False
36,,349.0,33.0,27,349.00124819,32.9897200564,541,228,False
37,,349.0,32.0,27,349.000466996,31.9953557954,541,228,False
38,,349.0,30.0,27,349.000174141,30.0160664689,541,228,False
