frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
3,,489.0,194.0,300,489.0,194.0,544,228,False
4,,469.0,185.0,300,472.333333333,186.5,544,228,False
5,,433.0,176.0,300,434.465838509,176.391304348,544,228,False
6,,400.0,166.0,300,400.584794539,166.181769509,544,228,False
7,,386.0,161.0,300,385.872673917,160.978250121,544,228,False
8,,373.0,167.0,300,372.918014986,166.790556593,544,228,False
9,,353.0,173.0,300,353.092716058,172.912292823,544,228,False
10,,336.0,173.0,300,335.986943276,173.073875149,544,228,False
11,,326.0,178.0,300,325.867999269,177.943451506,544,228,False
12,,303.0,182.0,300,303.17658989,181.992736061,544,228,False
13,,294.0,179.0,300,293.826914256,179.12280794,544,228,False
14,,283.0,179.0,300,282.959728195,178.998269966,544,228,False
15,,266.0,182.0,300,266.09316805,181.943572973,544,228,False
16,,248.0,179.0,300,248.057738355,179.083317284,544,228,False
17,,225.0,176.0,300,225.111802907,176.036047237,544,228,False
18,,201.0,175.0,300,201.063827484,174.978001672,544,228,False
19,,173.0,167.0,300,173.09619511,167.114959497,544,228,False
20,,154.0,161.0,300,153.878791422,161.013068279,544,228,False
21,,137.0,166.0,300,136.911634834,165.807246073,544,228,False
22,,122.0,174.0,300,121.929325485,173.865191325,544,228,False
23,,106.0,176.0,300,105.989688826,176.053759445,544,228,False
24,,83.0,176.0,300,83.1217782922,176.06068678,544,228,False
25,,76.0,178.0,300,75.7660190207,177.988891539,544,228,False
26,,73.0,180.0,300,72.8280771309,179.99424568,544,228,False
27,,47.0,175.0,300,47.3421032211,175.122632331,544,228,False
28,,41.0,175.0,300,40.7902184196,174.96249653,544,228,False
29,,40.0,173.0,300,39.8164885673,173.017712494,544,228,False
30,,40.0,171.0,300,39.9087259232,171.008118276,544,228,False
31,,40.0,170.0,300,39.9648859923,169.985262053,544,228,False
32,,40.0,169.0,300,39.986860081,168.993656855,544,228,False
33,,38.0,151.0,300,38.0307726987,151.300812701,544,228,False
34,,54.0,113.0,300,53.6921225583,113.483352617,544,228,False
35,,74.0,94.0,300,73.7986216695,93.8590282001,544,228,False
36,,89.0,80.0,300,89.0099792698,79.8429085558,544,228,False
37,,107.0,60.0,300,106.954279853,60.0434643685,544,228,False
38,,123.0,45.0,300,123.01626612,44.9319001246,544,228,False
39,,135.0,24.0,300,135.079001839,24.077601927,544,228,False
40,,146.0,22.0,300,146.050772037,21.6949615031,544,228,False
41,,166.0,21.0,300,165.859417166,20.8524893671,544,228,False
42,,186.0,29.0,300,185.93996943,28.7828752078,544,228,False
43,,190.0,31.0,300,190.262641641,31.0183327463,544,228,False
44,,208.0,33.0,300,207.861821446,33.0115829199,544,228,False
45,,241.0,38.0,300,240.66965671,37.9510354619,544,228,False
46,,266.0,37.0,300,266.006222599,37.086218332,544,228,False
47,,284.0,33.0,300,284.133363445,33.0906432113,544,228,False
48,,318.0,24.0,300,317.770596492,24.125765674,544,228,False
49,,350.0,24.0,300,349.936813609,23.8907496332,544,228,False
50,,372.0,22.0,300,372.155880664,21.9874819837,544,228,False
51,,409.0,29.0,300,408.799140897,28.8361569694,544,228,False
52,,433.0,38.0,300,433.144616521,37.8956430864,544,228,False
53,,466.0,50.0,300,465.903877073,49.9055239431,544,228,False
54,,499.0,53.0,300,498.956994112,53.1226544566,544,228,False
55,,514.0,62.0,300,514.304681372,61.9462519779,544,228,False
56,,512.0,66.0,300,512.432124612,66.0643891041,544,228,False
57,,505.0,95.0,300,505.265486075,94.5821306306,544,228,False
58,,507.0,115.0,300,506.943421128,114.983634983,544,228,False
59,,505.0,116.0,300,505.042814613,116.339460837,544,228,False
60,,505.0,118.0,300,504.983343064,118.125222755,544,228,False
61,,505.0,120.0,300,504.99223093,120.046610253,544,228,False
62,,506.0,121.0,300,505.97919333,121.035205708,544,228,False
63,,506.0,122.0,300,506.009224229,122.013975124,544,228,False
64,,507.0,123.0,300,506.986414225,123.005249583,544,228,False
65,,507.0,124.0,300,507.011958026,124.001958555,544,228,False
66,,508.0,125.0,300,507.987435185,125.000730077,544,228,False
67,,508.0,125.0,300,508.012338651,125.018108443,544,228,False
68,,508.0,125.0,300,508.005413382,125.007602854,544,228,False
69,,507.0,126.0,300,507.01989296,125.98503822,544,228,False
70,,507.0,126.0,300,506.990433508,126.011408238,544,228,False
71,,507.0,126.0,300,506.995621799,126.005064831,544,228,False
72,,495.0,159.0,300,495.21236522,158.413327826,544,228,False
73,,483.0,174.0,300,483.089392623,174.07422659,544,228,False
74,1.0,464.0,171.0,300,464.044696312,171.037113295,544,228,False
75,,445.0,168.0,300,445.0,168.0,544,228,False
76,,435.0,160.0,300,436.666666667,161.333333333,544,228,False
77,,431.0,158.0,300,431.211180124,158.124223602,544,228,False
78,,428.0,159.0,300,428.046446259,158.967741935,544,228,False
79,,397.0,145.0,300,397.530446633,145.259655475,544,228,False
80,,366.0,135.0,300,366.222460707,135.038232376,544,228,False
81,,357.0,121.0,300,356.691473184,121.082834526,544,228,False
82,,345.0,116.0,300,344.919785974,115.873616187,544,228,False
83,,359.0,111.0,300,358.508017534,110.945369115,544,228,False
84,,341.0,91.0,300,341.365280775,91.2468234224,544,228,False
85,,312.0,66.0,300,312.358601108,66.1939627093,544,228,False
86,,289.0,33.0,300,289.037283787,33.2198631822,544,228,False
87,,276.0,23.0,300,275.830921055,22.6787728343,544,228,False
88,,252.0,18.0,300,252.124424993,17.7717981629,544,228,False
89,,219.0,21.0,300,219.215872169,20.7670639473,544,228,False
90,,206.0,20.0,300,205.731843614,19.9774495772,544,228,False
91,,181.0,26.0,300,181.097406918,25.8698163895,544,228,False
92,,179.0,25.0,300,178.63551386,25.0705051328,544,228,False
93,,177.0,25.0,300,176.844970525,25.014138044,544,228,False
94,,175.0,26.0,300,174.941300281,25.986852163,544,228,False
95,,175.0,27.0,300,174.942405135,26.9942182377,544,228,False
96,,174.0,28.0,300,173.994660618,27.9978028709,544,228,False
97,,141.0,30.0,300,141.569544178,29.9813427503,544,228,False
98,,134.0,41.0,300,133.775884157,40.8316655528,544,228,False
99,,113.0,46.0,300,113.145293513,46.0365542515,544,228,False
100,,89.0,51.0,300,89.1186125419,51.0183761056,544,228,False
101,,60.0,56.0,300,60.1364750631,56.007076453,544,228,False
102,,38.0,60.0,300,37.9304274707,60.0204847123,544,228,False
103,,41.0,50.0,300,40.5223974475,50.2581976327,544,228,False
