frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,507.0,117.0,47,504.0,117.5,548,235,False
3,505.0,108.0,47,504.962732919,108.354037267,548,235,False
4,484.0,124.0,47,484.455762281,123.624682104,548,235,False
5,450.0,102.0,47,450.433482317,102.532168519,548,235,False
6,429.0,79.0,47,428.94145583,79.2486521649,548,235,False
7,427.0,72.0,47,426.628548959,71.8095400981,548,235,False
8,413.0,55.0,47,413.058874121,55.0938394926,548,235,False
9,412.0,35.0,47,411.799511265,35.0963729329,548,235,False
10,428.0,45.0,47,427.611412194,44.5037671887,548,235,False
11,437.0,57.0,47,436.965001757,56.7539075421,548,235,False
12,445.0,66.0,47,445.010048081,65.9588607442,548,235,False
13,451.0,44.0,47,451.040522821,44.5400135891,548,235,False
14,457.0,56.0,47,457.01686348,55.6214123821,548,235,False
15,461.0,73.0,47,461.042042158,72.7419637453,548,235,False
16,469.0,86.0,47,468.946035595,85.9695755045,548,235,False
17,477.0,78.0,47,476.976554289,78.3663696556,548,235,False
18,468.0,60.0,47,468.294319523,60.332990181,548,235,False
19,468.0,40.0,47,467.963673326,40.1691837897,548,235,False
20,478.0,39.0,47,477.801109219,38.7263241529,548,235,False
21,483.0,55.0,47,483.006181991,54.5786648445,548,235,False
22,484.0,68.0,47,484.077492754,67.8811892472,548,235,False
23,484.0,82.0,47,484.050317225,81.9397104548,548,235,False
24,482.0,98.0,47,482.055452406,97.9410904923,548,235,False
25,481.0,106.0,47,481.00458784,106.118990368,548,235,False
26,479.0,111.0,47,479.01877677,111.104603542,548,235,False
27,478.0,115.0,47,477.989978797,115.059707133,548,235,False
28,477.0,116.0,47,476.99545047,116.076754294,548,235,False
29,478.0,116.0,47,477.962592688,116.049051958,548,235,False
30,466.0,100.0,47,466.216220997,100.30464203,548,235,False
31,463.0,94.0,47,462.931076418,93.9488852469,548,235,False
32,465.0,93.0,47,464.877974553,92.8838873133,548,235,False
33,464.0,93.0,47,464.003418032,92.9342418092,548,235,False
34,464.0,93.0,47,463.985777681,92.9744150733,548,235,False
35,464.0,93.0,47,463.993957548,92.990412621,548,235,False
36,463.0,93.0,47,463.015548725,92.996424173,548,235,False
37,464.0,94.0,47,463.970974454,93.9808307889,548,235,False
38,465.0,94.0,47,464.987515381,94.0098381039,548,235,False
39,466.0,94.0,47,465.995267048,94.0044795239,548,235,False
40,467.0,95.0,47,466.99823214,94.9838721521,548,235,False
41,469.0,95.0,47,468.981504581,95.0109735334,548,235,False
42,470.0,95.0,47,470.010089234,95.0049028052,548,235,False
43,471.0,94.0,47,471.004573124,94.019702575,548,235,False
44,473.0,94.0,47,472.983907038,93.9903625448,548,235,False
45,473.0,94.0,47,473.028822864,93.9955953497,548,235,False
46,473.0,94.0,47,473.012409083,93.9983194312,548,235,False
47,473.0,94.0,47,473.0047048,93.9993717652,548,235,False
48,475.0,95.0,47,474.966084712,94.9819294306,548,235,False
49,475.0,95.0,47,475.021324972,95.0102475859,548,235,False
50,475.0,95.0,47,475.009573577,95.0046321442,548,235,False
51,475.0,96.0,47,475.003646004,95.983929036,548,235,False
52,476.0,96.0,47,475.983526316,96.0109947349,548,235,False
53,476.0,96.0,47,476.010842952,96.0049107074,548,235,False
54,476.0,96.0,47,476.004854055,96.0018691926,548,235,False
55,476.0,96.0,47,476.001848074,96.0006985382,548,235,False
56,476.0,96.0,47,476.000690667,96.000260445,548,235,False
57,477.0,96.0,47,476.982421183,96.0000970761,548,235,False
58,478.0,96.0,47,477.992594551,96.000036182,548,235,False
59,478.0,97.0,47,478.015035356,96.982177158,548,235,False
60,478.0,96.0,47,478.006455512,96.0281762495,548,235,False
61,479.0,97.0,47,478.984610494,96.9764953362,548,235,False
62,479.0,97.0,47,479.011248814,97.0074484002,548,235,False
63,479.0,96.0,47,479.005005411,96.0213881414,548,235,False
64,480.0,97.0,47,479.984068163,96.9731897125,548,235,False
65,480.0,97.0,47,480.01104659,97.0061792276,548,235,False
66,481.0,97.0,47,480.987093707,97.0030769975,548,235,False
67,481.0,97.0,47,481.012211292,97.0011838794,548,235,False
68,482.0,97.0,47,481.987529582,97.0004430223,548,235,False
69,482.0,97.0,47,482.012373834,97.000165206,548,235,False
70,478.0,113.0,47,478.076771805,112.714680337,548,235,False
71,511.0,116.0,47,510.372123126,116.111872299,548,235,False
72,507.0,97.0,47,507.394508347,97.444538443,548,235,False
73,510.0,88.0,47,510.05226327,88.0066010573,548,235,False
74,476.0,60.0,47,476.674887927,60.3337375006,548,235,False
75,447.0,68.0,47,447.193724083,67.4981345921,548,235,False
76,417.0,65.0,47,417.087273426,64.9791772016,548,235,False
77,395.0,61.0,47,394.890558676,61.0180303101,548,235,False
78,359.0,50.0,47,359.202124164,50.1328087107,548,235,False
79,334.0,45.0,47,333.890759874,44.9485158565,548,235,False
80,315.0,41.0,47,314.843433715,40.9581421443,548,235,False
81,311.0,46.0,47,310.668556379,45.8227871633,548,235,False
82,282.0,34.0,47,282.309305371,34.2294336806,548,235,False
83,254.0,52.0,47,254.118160102,51.5645640201,548,235,False
84,223.0,62.0,47,223.097686756,61.955466869,548,235,False
85,197.0,79.0,47,196.949794981,78.8641829675,548,235,False
86,174.0,93.0,47,173.923633898,92.9971826625,548,235,False
87,168.0,97.0,47,167.665560579,97.1796008642,548,235,False
88,128.0,102.0,47,128.467141898,102.057748736,548,235,False
89,94.0,90.0,47,94.0954132746,90.3243015601,548,235,False
90,68.0,81.0,47,67.8891052853,81.0818526385,548,235,False
91,44.0,63.0,47,43.9159864845,63.1891673989,548,235,False
92,61.0,34.0,47,60.2353549225,34.2742978675,548,235,False
93,78.0,42.0,47,77.6799113833,41.4520433993,548,235,False
94,106.0,52.0,47,105.682819049,51.7289805348,548,235,False
95,111.0,53.0,47,111.282547811,53.0563177087,548,235,False
96,110.0,48.0,47,110.231506564,48.1355375205,548,235,False
97,103.0,41.0,47,103.199343165,41.0916712274,548,235,False
98,106.0,33.0,47,105.901345338,33.0539730436,548,235,False
99,134.0,51.0,47,133.509045026,50.5573198706,548,235,False
100,129.0,79.0,47,129.383877303,78.6344958706,548,235,False
101,140.0,91.0,47,139.884823035,91.1395568004,548,235,False
102,148.0,106.0,47,147.998221996,106.011703732,548,235,False
103,177.0,129.0,47,176.626743678,128.859742442,548,235,False
104,197.0,136.0,47,197.00357809,136.226184308,548,235,False
105,215.0,156.0,47,215.043835016,155.865755853,548,235,False
106,232.0,184.0,47,232.036208219,183.796815963,548,235,False
107,243.0,203.0,47,243.121464216,203.077468173,548,235,False
108,261.0,199.0,47,260.925584143,199.446440415,548,235,False
109,263.0,198.0,47,263.251917657,198.132868907,548,235,False
110,263.0,198.0,47,263.142949078,198.030081548,548,235,False
111,263.0,198.0,47,263.055626869,198.010281516,548,235,False
112,263.0,198.0,47,263.02084533,198.003787557,548,235,False
113,263.0,198.0,47,263.00777475,198.00140955,548,235,False
114,263.0,198.0,47,263.002898026,198.000525259,548,235,False
115,263.0,197.0,47,263.001080151,197.018032095,548,235,False
116,263.0,197.0,47,263.000402589,196.98973807,548,235,False
117,262.0,197.0,47,262.017986379,196.995362509,548,235,False
118,262.0,197.0,47,261.989721031,196.998232644,548,235,False
119,263.0,197.0,47,262.977519831,196.999339418,548,235,False
120,262.0,197.0,47,262.0264015,196.999753702,548,235,False
121,262.0,197.0,47,261.993668326,196.999908197,548,235,False
122,262.0,197.0,47,261.996866179,196.999965783,548,235,False
123,317.0,185.0,47,316.017796924,185.214023178,548,235,False
124,326.0,182.0,47,326.407441395,181.929485482,548,235,False
125,350.0,164.0,47,349.921331785,164.234071205,548,235,False
126,357.0,164.0,47,357.262864786,163.778647251,548,235,False
127,360.0,176.0,47,360.183301619,175.688694677,548,235,False
128,361.0,191.0,47,361.108075353,190.819513324,548,235,False
