frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
861,226.0,162.0,16,225.654971079,162.112018087,521,212,False
862,191.0,155.0,16,191.2073504,155.275073006,521,212,False
863,157.0,135.0,16,157.075523168,135.34556184,521,212,False
864,142.0,111.0,16,141.689174217,111.21177211,521,212,False
865,142.0,63.0,16,141.600383897,63.5109733956,521,212,False
866,148.0,18.0,16,147.730459308,18.1576140814,521,212,False
867,169.0,13.0,16,168.626221925,12.3437208292,521,212,False
868,217.0,22.0,16,216.366026765,21.4714685439,521,212,False
869,265.0,26.0,16,264.740036432,25.8786025463,521,212,False
870,296.0,23.0,16,296.205192334,23.083225174,521,212,False
871,343.0,19.0,16,342.805553382,19.0550036596,521,212,False
872,360.0,13.0,16,360.449651452,13.0573211365,521,212,False
873,388.0,19.0,16,387.996378715,18.8090905806,521,212,False
874,427.0,16.0,16,426.79425726,16.0792136931,521,212,False
875,471.0,17.0,16,470.82435364,16.9653747496,521,212,False
876,493.0,29.0,16,493.322197237,28.7878251586,521,212,False
877,482.0,59.0,16,482.727238327,58.5903292262,521,212,False
878,467.0,88.0,16,467.371453431,87.8493253339,521,212,False
879,446.0,113.0,16,446.250269034,113.015283023,521,212,False
880,413.0,133.0,16,413.312666321,133.098296708,521,212,False
881,379.0,148.0,16,379.144870656,148.130249734,521,212,False
882,341.0,171.0,16,341.126696806,170.910335314,521,212,False
883,294.0,149.0,16,294.211227918,149.762601249,521,212,False
884,258.0,143.0,16,257.890376807,143.036945583,521,212,False
885,218.0,143.0,16,218.021473507,142.894918248,521,212,False
886,170.0,131.0,16,170.153677018,131.16918268,521,212,False
887,133.0,115.0,16,132.868049397,115.144372816,521,212,False
888,103.0,88.0,16,102.816910151,88.253900943,521,212,False
889,68.0,64.0,16,68.0145329758,64.0506991653,521,212,False
890,47.0,45.0,16,46.759669204,44.9276122714,521,212,False
891,27.0,15.0,16,26.8808284312,15.1648511785,521,212,False
892,28.0,13.0,16,27.5796037013,12.5712054896,521,212,False
893,74.0,16.0,16,73.0226845889,15.7275397306,521,212,False
894,133.0,16.0,16,132.364596104,15.9465683694,521,212,False
895,173.0,15.0,16,173.089089852,15.0002242543,521,212,False
896,225.0,8.0,16,224.834765898,8.1080653044,521,212,False
897,265.0,8.0,16,265.142954318,7.92059077852,521,212,False
898,301.0,12.0,16,301.134414839,11.893330031,521,212,False
899,344.0,15.0,16,343.929126833,14.9743904617,521,212,False
900,392.0,33.0,16,391.878613737,32.723587072,521,212,False
901,421.0,62.0,16,421.289102868,61.6880060724,521,212,False
902,440.0,100.0,16,440.302116479,99.7131878228,521,212,False
903,454.0,136.0,16,454.211086362,135.92061276,521,212,False
904,470.0,163.0,16,470.047715378,163.132254699,521,212,False
905,490.0,168.0,16,489.944957361,168.4494376,521,212,False
906,491.0,148.0,16,491.314889851,148.632569417,521,212,False
907,460.0,98.0,16,460.704177602,98.7931135034,521,212,False
908,435.0,66.0,16,435.183521833,66.0012234754,521,212,False
909,419.0,21.0,16,418.904096965,21.2182405841,521,212,False
910,417.0,12.0,16,416.706684078,11.4496559205,521,212,False
911,441.0,11.0,16,440.414606037,10.6219583223,521,212,False
912,478.0,12.0,16,477.527160029,11.815150311,521,212,False
913,487.0,34.0,16,487.310995941,33.5544376824,521,212,False
914,482.0,69.0,16,482.388938012,68.5840344451,521,212,False
915,463.0,104.0,16,463.407737388,103.833004383,521,212,False
916,446.0,151.0,16,446.128872408,150.723149948,521,212,False
917,429.0,172.0,16,429.046927386,172.350288161,521,212,False
918,408.0,160.0,16,408.088782971,160.740857641,521,212,False
919,358.0,152.0,16,358.55375598,152.233989652,521,212,False
920,310.0,144.0,16,310.195637174,144.085194949,521,212,False
921,265.0,142.0,16,265.018893254,141.924638995,521,212,False
922,205.0,140.0,16,205.272001409,139.966785825,521,212,False
923,181.0,143.0,16,180.47195097,142.898193626,521,212,False
924,144.0,124.0,16,144.004938945,124.350174875,521,212,False
925,108.0,94.0,16,107.993659302,94.3452886535,521,212,False
926,82.0,63.0,16,81.8188819213,63.1568086914,521,212,False
927,61.0,28.0,16,60.8347585485,28.1311357277,521,212,False
928,46.0,7.0,16,45.8267168474,6.80264633186,521,212,False
929,27.0,6.0,16,27.001414841,5.55793335108,521,212,False
930,10.0,19.0,16,9.96801312016,18.5678913175,521,212,False
931,15.0,41.0,16,14.5941228214,40.6656257626,521,212,False
932,21.0,86.0,16,20.8120342612,85.4568437803,521,212,False
933,41.0,128.0,16,40.6784779403,127.831037546,521,212,False
934,69.0,160.0,16,68.7254393267,160.116990576,521,212,False
935,114.0,161.0,16,113.587045103,161.605142602,521,212,False
936,143.0,142.0,16,143.116601777,142.609144954,521,212,False
937,162.0,113.0,16,162.234768134,113.42375811,521,212,False
938,189.0,84.0,16,188.953966167,84.1673552217,521,212,False
939,214.0,47.0,16,214.012124785,47.2055169899,521,212,False
940,243.0,18.0,16,242.93457509,17.9407587456,521,212,False
941,261.0,9.0,16,261.168467559,8.6146926598,521,212,False
942,305.0,11.0,16,304.608274897,10.6428081689,521,212,False
943,337.0,12.0,16,337.046283093,11.8744844734,521,212,False
944,382.0,18.0,16,381.794579979,17.8644012335,521,212,False
945,426.0,25.0,16,425.930617221,24.9273735769,521,212,False
946,461.0,35.0,16,461.135010542,34.9183650752,521,212,False
947,495.0,45.0,16,495.075855303,44.9669621532,521,212,False
948,480.0,78.0,16,480.903474458,77.5773257911,521,212,False
949,463.0,109.0,16,463.414294317,108.858497655,521,212,False
950,461.0,132.0,16,460.890580359,132.090717874,521,212,False
951,448.0,145.0,16,448.142791449,145.219040414,521,212,False
952,454.0,169.0,16,453.723115281,168.894304244,521,212,False
953,472.0,179.0,16,471.666967668,179.2013492,521,212,False
954,483.0,179.0,16,482.989729349,179.26493002,521,212,False
955,498.0,163.0,16,497.930275231,163.393211644,521,212,False
956,486.0,145.0,16,486.45243986,145.196320467,521,212,False
957,483.0,142.0,16,483.030999512,141.808008218,521,212,False
958,481.0,139.0,16,480.987131285,138.915752297,521,212,False
959,479.0,138.0,16,478.994034882,137.932319681,521,212,False
960,478.0,137.0,16,477.979884451,136.973038329,521,212,False
961,478.0,136.0,16,477.973810063,135.989867887,521,212,False
962,478.0,135.0,16,477.989344074,134.99621963,521,212,False
963,478.0,135.0,16,477.995985565,134.98075448,521,212,False
964,478.0,136.0,16,477.99850171,135.974137004,521,212,False
965,479.0,138.0,16,478.981605139,137.97162973,521,212,False
966,479.0,138.0,16,479.010126717,138.02420226,521,212,False
967,479.0,140.0,16,479.004587094,139.975012121,521,212,False
968,479.0,141.0,16,479.001748573,141.006895485,521,212,False
969,479.0,142.0,16,479.000653581,142.003345729,521,212,False
970,479.0,143.0,16,479.000243689,143.001284125,521,212,False
971,479.0,144.0,16,479.000090831,144.000480389,521,212,False
972,480.0,144.0,16,479.982197527,144.018015461,521,212,False
973,481.0,144.0,16,480.992511186,144.007568202,521,212,False
974,482.0,144.0,16,481.997167957,144.002861632,521,212,False
975,484.0,143.0,16,483.981106172,143.018904857,521,212,False
976,488.0,144.0,16,487.956431673,143.972227127,521,212,False
977,490.0,144.0,16,490.017686101,144.005818685,521,212,False
978,491.0,144.0,16,491.026051678,144.002942533,521,212,False
979,491.0,144.0,16,491.028477438,144.001133758,521,212,False
980,491.0,145.0,16,491.011512102,144.982588014,521,212,False
981,491.0,145.0,16,491.004333717,145.010493139,521,212,False
982,491.0,146.0,16,491.0016173,145.986887342,521,212,False
983,492.0,146.0,16,491.982766563,146.012134372,521,212,False
984,492.0,146.0,16,492.010559607,146.00533724,521,212,False
985,492.0,147.0,16,492.00474844,146.984191925,521,212,False
986,491.0,147.0,16,491.019645036,147.011092722,521,212,False
987,491.0,147.0,16,490.990341099,147.004947229,521,212,False
988,491.0,146.0,16,490.995587357,146.019719132,521,212,False
989,491.0,146.0,16,490.998316452,145.990368716,521,212,False
990,491.0,145.0,16,490.999370655,145.013433977,521,212,False
991,491.0,145.0,16,490.999765344,144.987985393,521,212,False
992,491.0,145.0,16,490.999912536,144.994707399,521,212,False
993,487.0,166.0,16,487.071312711,165.623425505,521,212,False
994,445.0,157.0,16,445.707774026,157.376808131,521,212,False
