frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,324.0,71.0,32,322.0,73.0,520,208,False
3,,331.0,66.0,32,330.664596273,66.2608695652,520,208,False
4,,343.0,64.0,32,342.770311873,64.0206130371,520,208,False
5,,347.0,48.0,32,347.055469325,48.261259289,520,208,False
6,,359.0,33.0,32,358.88416818,33.0916964494,520,208,False
7,,367.0,21.0,32,367.021676669,20.9803658376,520,208,False
8,,381.0,18.0,32,380.90415615,17.8295665643,520,208,False
9,,380.0,18.0,32,380.226852151,17.8751612023,520,208,False
10,,380.0,30.0,32,380.079280483,29.7365001199,520,208,False
11,,383.0,32.0,32,382.975787824,32.0697697189,520,208,False
12,,385.0,31.0,32,385.00623933,31.0875519356,520,208,False
13,,385.0,29.0,32,385.038728589,29.0534136474,520,208,False
14,,385.0,29.0,32,385.016176813,28.9852299404,520,208,False
15,,393.0,33.0,32,392.863422092,32.921490136,520,208,False
16,,402.0,40.0,32,401.924434508,39.9137355335,520,208,False
17,,411.0,51.0,32,410.970655437,50.8937747335,520,208,False
18,,418.0,54.0,32,418.024679011,54.099554056,520,208,False
19,,420.0,55.0,32,420.100084299,55.079436816,520,208,False
20,,421.0,56.0,32,421.059488642,56.0316330972,520,208,False
21,,421.0,57.0,32,421.041070355,57.0118870842,520,208,False
22,,421.0,57.0,32,421.016211918,57.0222714654,520,208,False
23,,422.0,57.0,32,421.988249381,57.0091546979,520,208,False
24,,423.0,57.0,32,422.994768876,57.0034529541,520,208,False
25,,423.0,57.0,32,423.015845859,57.0012889242,520,208,False
26,,423.0,57.0,32,423.006757604,57.0004804954,520,208,False
27,,423.0,56.0,32,423.002559416,56.0180154201,520,208,False
28,,423.0,57.0,32,423.000955884,56.9718955275,520,208,False
29,,423.0,57.0,32,423.000356366,57.0056950886,520,208,False
30,,424.0,56.0,32,423.9822965,56.020732794,520,208,False
31,,424.0,56.0,32,424.010384403,55.990781693,520,208,False
32,,425.0,55.0,32,424.986846811,55.0135895834,520,208,False
33,,425.0,55.0,32,425.012119265,54.9880434701,520,208,False
34,,425.0,54.0,32,425.005331609,54.0125653764,520,208,False
35,,426.0,54.0,32,425.984189826,53.9876615587,520,208,False
36,,426.0,54.0,32,426.01109194,53.9945866963,520,208,False
37,,426.0,53.0,32,426.004946937,53.0157797246,520,208,False
38,,427.0,53.0,32,426.984046368,52.9888967114,520,208,False
39,,427.0,52.0,32,427.011038467,52.0128851604,520,208,False
40,,428.0,52.0,32,427.987090679,51.9877808318,520,208,False
41,,428.0,51.0,32,428.012210163,51.0124674828,520,208,False
42,,429.0,51.0,32,428.987529161,50.9876250721,520,208,False
43,,429.0,51.0,32,429.012373677,50.9945730971,520,208,False
44,,430.0,50.0,32,429.987590109,50.015774656,520,208,False
45,,430.0,50.0,32,430.012396393,49.9888948223,520,208,False
46,,430.0,50.0,32,430.005434903,49.9950481287,520,208,False
47,,430.0,50.0,32,430.002064654,49.9981154649,520,208,False
48,,430.0,50.0,32,430.000771394,49.9992957435,520,208,False
49,,430.0,50.0,32,430.000287599,49.9997374237,520,208,False
50,,430.0,50.0,32,430.000107197,49.9999021295,520,208,False
51,,431.0,49.0,32,430.982203627,49.0177998496,520,208,False
52,,431.0,49.0,32,431.010349787,48.9896515084,520,208,False
53,,431.0,49.0,32,431.004670236,48.9953302465,520,208,False
54,,431.0,49.0,32,431.001779561,48.9982206188,520,208,False
55,,431.0,49.0,32,431.000665131,48.9993349362,520,208,False
56,,431.0,49.0,32,431.000247994,48.9997520314,520,208,False
57,,431.0,49.0,32,431.000092435,48.9999075741,520,208,False
58,,431.0,49.0,32,431.000034452,48.9999655512,520,208,False
59,,422.0,34.0,32,422.160539789,34.2675320744,520,208,False
60,,427.0,30.0,32,426.817809087,29.9163170905,520,208,False
61,,432.0,27.0,32,431.920512449,26.9421973254,520,208,False
62,,429.0,26.0,32,429.112510124,25.9415098449,520,208,False
63,,419.0,22.0,32,419.173590491,22.0299407405,520,208,False
64,,424.0,30.0,32,423.803455346,29.7995995085,520,208,False
65,,427.0,24.0,32,426.949915569,24.1648920326,520,208,False
66,,428.0,20.0,32,428.018114259,20.0372504667,520,208,False
67,,428.0,18.0,32,428.026347972,17.9770527213,520,208,False
68,,428.0,17.0,32,428.010758086,16.971848314,520,208,False
69,,428.0,16.0,32,428.004054582,15.9885695285,520,208,False
70,,427.0,16.0,32,427.01934968,15.9778584768,520,208,False
71,,426.0,17.0,32,426.008065584,16.9730554801,520,208,False
72,,427.0,16.0,32,426.967374364,16.0247355103,520,208,False
73,,426.0,16.0,32,426.021807417,15.9930472879,520,208,False
74,,427.0,15.0,32,426.974080821,15.0144710318,520,208,False
75,,428.0,15.0,32,427.988710196,14.9883737713,520,208,False
76,,428.0,15.0,32,428.013550473,14.9948522419,520,208,False
77,,428.0,15.0,32,428.005900297,14.9980423744,520,208,False
78,,428.0,15.0,32,428.0022398,14.9992684977,520,208,False
79,,428.0,15.0,32,428.000836754,14.9997272686,520,208,False
80,,428.0,15.0,32,428.000311964,14.9998983446,520,208,False
81,,428.0,15.0,32,428.000116278,14.9999621113,520,208,False
82,,428.0,15.0,32,428.000043339,14.9999858783,520,208,False
83,,428.0,15.0,32,428.000016153,14.9999947366,520,208,False
84,,428.0,14.0,32,428.000006021,14.0178343659,520,208,False
85,,428.0,14.0,32,428.000002244,13.9896643732,520,208,False
86,,428.0,14.0,32,428.000000836,13.9953350414,520,208,False
87,,428.0,14.0,32,428.000000312,13.998222406,520,208,False
88,,428.0,14.0,32,428.000000116,13.9993356022,520,208,False
89,,428.0,14.0,32,428.000000043,13.9997522797,520,208,False
90,,428.0,14.0,32,428.000000016,13.9999076666,520,208,False
91,,428.0,14.0,32,428.000000006,13.9999655857,520,208,False
92,,441.0,9.0,32,440.768127743,9.08916881125,520,208,False
93,,446.0,9.0,32,446.045172006,8.94832074116,520,208,False
94,,446.0,9.0,32,446.112315398,8.97667478774,520,208,False
95,,447.0,9.0,32,447.028594505,8.99111187363,520,208,False
96,,448.0,9.0,32,448.010022709,8.99667795299,520,208,False
97,,448.0,9.0,32,448.021541562,8.99876137679,520,208,False
98,,448.0,9.0,32,448.008880976,8.99953832482,520,208,False
99,,449.0,9.0,32,448.985514526,8.99982792556,520,208,False
100,,464.0,18.0,32,463.744040847,17.8394089168,520,208,False
101,,463.0,13.0,32,463.177990758,13.1821717946,520,208,False
102,,445.0,13.0,32,445.38264059,12.9902987872,520,208,False
103,,425.0,22.0,32,425.193425271,21.8321437326,520,208,False
104,,405.0,21.0,32,405.074524047,21.1079409274,520,208,False
105,,392.0,28.0,32,391.903038321,27.9057000809,520,208,False
106,,385.0,27.0,32,384.850873584,27.1011055935,520,208,False
107,,383.0,28.0,32,382.849829641,28.008531332,520,208,False
108,,371.0,31.0,32,371.117865931,30.9661120183,520,208,False
